Company,URL,Title,Description,Date
"""LOreal S.A.""","http://www.bing.com/cr?IG=47F2E6227A354B2C8F21CBE228F78DCC&CID=32F3F36F4C9865A028E1FA554D0864D1&rd=1&h=v2iclafpY9yEzrG_whh_uGg446Ubs2UhrMbFvWlLkUM&v=1&r=http%3a%2f%2fwww.dailypolitical.com%2f2016%2f06%2f15%2floreal-s-a-lrlcy-downgraded-by-zacks-investment-research-to-hold%2f&p=DevEx,5020.1",L’Oreal S.A. (LRLCY) Downgraded by Zacks Investment Research to Hold,"Zacks Investment Research lowered shares of L’Oreal S.A. (OTCMKTS:LRLCY) from a buy rating to a hold rating in a report published on Wednesday morning. According to Zacks, “At L’Oreal, they have made cosmetics the focus of all their energy and know ...",2016-06-16T06:57:00
"""LOreal S.A.""","http://www.bing.com/cr?IG=47F2E6227A354B2C8F21CBE228F78DCC&CID=32F3F36F4C9865A028E1FA554D0864D1&rd=1&h=32ilwB-EkqrkyXQl5TPPrz5QdOddzggwdX9O4FOIsh4&v=1&r=http%3a%2f%2fchicago.suntimes.com%2fnews%2fmitchell-with-ebonyjet-sale-one-legacy-ends-as-another-begins%2f&p=DevEx,5022.1","Mitchell: With Ebony/Jet sale, one legacy ends as another begins","Five years later, L’Oreal, S.A., based in Paris, bought up Soft Sheen Products Inc., which Ed and Bettiann Gardner founded in 1964. Last week, Crain’s reported Seaway Bank & Trust’s status as one of the country’s largest black-owned banks is being ...",2016-06-15
"""LOreal S.A.""","http://www.bing.com/cr?IG=47F2E6227A354B2C8F21CBE228F78DCC&CID=32F3F36F4C9865A028E1FA554D0864D1&rd=1&h=zmXmRvq1BmlHmzIXXdz05sMR--IQOlBxNnJNEi9OMWE&v=1&r=http%3a%2f%2fwww.sbwire.com%2fpress-releases%2fskin-care-products-market%2frelease-695848.htm&p=DevEx,5024.1",Global Skin Care Products Market Rises at 4.9% CAGR 2015-2021 Due to High Demand for Anti-Aging Products,"Skin Care Products Market (Face Cream and Body Lotion) - Global Industry Analysis, Size, Share, Growth, Trends, and Forecast 2015 - 2021 Albany, NY -- (SBWIRE) -- 06/07/2016 -- Transparency Market Research has recently published a new research report ...",2016-06-07T16:26:00
"""LOreal S.A.""","http://www.bing.com/cr?IG=47F2E6227A354B2C8F21CBE228F78DCC&CID=32F3F36F4C9865A028E1FA554D0864D1&rd=1&h=lbtWJuSqDtMwxnwaYLT3aa7Pfs0X3f-Twzqdp4Pwi-Y&v=1&r=http%3a%2f%2fwww.businesswire.com%2fnews%2fhome%2f20100803005965%2fen%2fResearch-Markets-LOreal-S.A.-SWOT-Analysis--&p=DevEx,5026.1",Research and Markets: L'Oreal S.A. SWOT Analysis - a Comprehensive Analysis on One of the Largest Cosmetic Companies in the World,"DUBLIN--(BUSINESS WIRE)--Research and Markets (http://www.researchandmarkets.com/research/991bab/loreal_s_a_swo) has announced the addition of the ""L'Oreal S.A. - SWOT Analysis"" company profile to their offering. The L'Oreal S.A. - SWOT Analysis company ...",2010-08-03T11:00:00
"""LOreal S.A.""","http://www.bing.com/cr?IG=47F2E6227A354B2C8F21CBE228F78DCC&CID=32F3F36F4C9865A028E1FA554D0864D1&rd=1&h=2mgN_Q70SBgYePKX5Jos_fFhhWRXerNOgMhOURJdZUs&v=1&r=http%3a%2f%2fwww.webbreakingnews.com%2f2016%2f06%2f02%2floreal-s-a-otcmktslrlcy-receives-consensus-rating-of-hold-from-brokerages%2f&p=DevEx,5028.1",L’Oreal S.A. (OTCMKTS:LRLCY) Receives Consensus Rating of “Hold” from Brokerages,"L’Oreal S.A. (OTCMKTS:LRLCY) has earned an average rating of “Hold” from the twelve analysts that are presently covering the company. Three equities research analysts have rated the stock with a sell rating, six have issued a hold rating and three ...",2016-06-02
"""LOreal S.A.""","http://www.bing.com/cr?IG=47F2E6227A354B2C8F21CBE228F78DCC&CID=32F3F36F4C9865A028E1FA554D0864D1&rd=1&h=nXFoK0zNrQL8XQjOIUCWeDACTFfexIMLsdAjrQ-5y7g&v=1&r=http%3a%2f%2fwww.nytimes.com%2f2000%2f04%2f18%2fbusiness%2fkiehl-s-cosmetics-company-bought-by-france-s-l-oreal.html&p=DevEx,5030.1",Kiehl's Cosmetics Company Bought by France's L'Oreal,"After 149 years as a small but intensely popular independent cosmetics company, Kiehl's said yesterday that it had agreed to be acquired by L'Oreal S.A., the French beauty products giant. The price was not disclosed but people close to the negotiations ...",2000-04-18
"""LOreal S.A.""","http://www.bing.com/cr?IG=47F2E6227A354B2C8F21CBE228F78DCC&CID=32F3F36F4C9865A028E1FA554D0864D1&rd=1&h=8j5QmGXvHpPsl9ei3up19BbVnfKFyWY_JEaB6nDdYy0&v=1&r=http%3a%2f%2fwww.reuters.com%2farticle%2fidUS140373%2b22-Sep-2009%2bBW20090922&p=DevEx,5032.1","Research and Markets: Hair Today, Gone Tomorrow - Haircare In South Africa Report Features The Procter & Gamble Company, L'Oreal S.A. And Unilever","L'Oreal S.A. * Procter & Gamble Company, The * Unilever For more information visit http://www.researchandmarkets.com/research/41d7e7/haircare_in_south. Source: Datamonitor Research and Markets Laura Wood, Senior Manager, press@researchandmarkets.com U.S ...",2009-09-22T12:40:00
"""LOreal S.A.""","http://www.bing.com/cr?IG=47F2E6227A354B2C8F21CBE228F78DCC&CID=32F3F36F4C9865A028E1FA554D0864D1&rd=1&h=xilIC4_C95muFDEx1Vlc2vTBephJuDR5OumW6Vd4oTg&v=1&r=http%3a%2f%2fwww.etonline.com%2fnews%2f190377_helen_mirren_praises_kim_kardashian%2f&p=DevEx,5034.1",Helen Mirren Praises Kim Kardashian: 'It's Wonderful That You're Allowed to Have a Butt Nowadays!',"Helen Mirren is all for Kim Kardashian West's body positivity. The 70-year-old British icon mentions the 35-year-old reality superstar in a new interview with The Telegraph, and while she isn't a fan of Keeping Up With the Kardashians, she does admire Kim ...",2016-06-06T19:47:18
"""LOreal S.A.""","http://www.bing.com/cr?IG=47F2E6227A354B2C8F21CBE228F78DCC&CID=32F3F36F4C9865A028E1FA554D0864D1&rd=1&h=kWz9XYz_3njDsgcq0o7owRIrzRfatvqHLR1L0Ut4HN0&v=1&r=http%3a%2f%2fwww.theepochtimes.com%2fn3%2f2088613-chinese-policeman-forces-two-girls-into-patrol-car%2f&p=DevEx,5036.1","Chinese Policeman Forces Two Girls into Patrol Car, Tells Them They’ll ‘Enjoy’ Being Locked Up With Criminals and HIV-Positives","A video uploaded to and going viral on Chinese social media has put police in the spotlight for abuse of power, more specifically threatening young women with prison rape for the supposed purpose of teaching them “respect for the law.” The video was ...",2016-06-10T18:58:00
"""LOreal S.A.""","http://www.bing.com/cr?IG=47F2E6227A354B2C8F21CBE228F78DCC&CID=32F3F36F4C9865A028E1FA554D0864D1&rd=1&h=8bk4Os_XtK9ZPlrjRERx8g8abfUjtYhOdwnevD1h0p8&v=1&r=http%3a%2f%2fwww.usmagazine.com%2fcelebrity-news%2fnews%2fpregnant-courtney-stodden-shows-off-bare-baby-bump-in-prince-shirt-w209457&p=DevEx,5038.1",Pregnant Courtney Stodden Shows Off Her Bare Baby Bump in 'Prince R.I.P.' Shirt,--Kylie Jenner used the Skinnydip London Avo Case while out in L.A. --Gwen Stefani wore Death by Dolls while performing at the Samsung Experience in NYC. --Bo Derek looked as beautiful as ever in a flowy print dress and summer hat watching the horse races ...,2016-06-08T22:09:13
