Company,URL,Title,Description,Date
AU Optronics Corp.,"http://www.bing.com/cr?IG=2CE334F9CEA24FB3A637A218B7DC3921&CID=19EEA0164DA46F1A2992A92C4C346EA2&rd=1&h=cdG4CjCEesoP6vT0G4hKvF0pgHaa6PnaYzqjf7E8PkI&v=1&r=http%3a%2f%2fwww.tickerreport.com%2fbanking-finance%2f1871110%2fau-optronics-corp-auo-shares-up-1-5%2f&p=DevEx,5025.1",AU Optronics Corp (AUO) Shares Up 1.5%,"Shares of AU Optronics Corp (NYSE:AUO) shot up 1.5% during trading on Tuesday . The company traded as high as $2.79 and last traded at $2.76, with a volume of 213,321 shares. The stock had previously closed at $2.72. AUO has been the topic of a number of ...",2016-06-16T13:44:00
AU Optronics Corp.,"http://www.bing.com/cr?IG=2CE334F9CEA24FB3A637A218B7DC3921&CID=19EEA0164DA46F1A2992A92C4C346EA2&rd=1&h=ZBfRiVuEwkgx6cDQh9XOvxLfyfqAgY1V_l-elPfJVHQ&v=1&r=http%3a%2f%2fwww.pressreleasepoint.com%2fau-optronics-corp-reports-may-2016-consolidated-revenue&p=DevEx,5027.1",AU Optronics Corp. Reports May 2016 Consolidated Revenue,"AU Optronics Corp. (""AUO"" or the ""Company"") (TAIEX: 2409; NYSE: AUO) today announced its unaudited consolidated revenue of NT$26.79 billion for May 2016 (1), up by 3.8% month-over-month and down 14.1% year-over-year. Shipments of large-sized panels (2) for ...",2016-06-08T13:45:00
AU Optronics Corp.,"http://www.bing.com/cr?IG=2CE334F9CEA24FB3A637A218B7DC3921&CID=19EEA0164DA46F1A2992A92C4C346EA2&rd=1&h=R0ABeT8Lve42ad72ZL0I5Lmzb9OXmK-IBj_lJgKEWV4&v=1&r=http%3a%2f%2fwww.4-traders.com%2fAU-OPTRONICS-CORP-6492643%2fnews%2fAU-Optronics-Reports-May-2016-Consolidated-Revenue-22488988%2f&p=DevEx,5029.1",AU Optronics : Reports May 2016 Consolidated Revenue,"AU Optronics Corp. ('AUO' or the 'Company') (TAIEX: 2409; NYSE: AUO) today announced its unaudited consolidated revenue of NT$26.79 billion for May 2016, up by 3.8% month-over-month and down 14.1% year-over-year. Shipments of large-sized panels for LCD TV ...",2016-06-08T06:18:32
AU Optronics Corp.,"http://www.bing.com/cr?IG=2CE334F9CEA24FB3A637A218B7DC3921&CID=19EEA0164DA46F1A2992A92C4C346EA2&rd=1&h=JlnGKH4S0_NUiIGX7BGCaKfzmvN0udIuzY5L7hhewt0&v=1&r=http%3a%2f%2fwww.equitiesfocus.com%2fau-optronics-corp-nyseauo-posted-basic-consolidated-eps-of-0-2361%2f1103161%2f&p=DevEx,5031.1",AU Optronics Corp (NYSE:AUO) Posted Basic Consolidated EPS Of $0.2361,"Enter your email address below to receive ButtonwoodResearch.com's daily market update. You will receive FREE daily commentary, Top Gainer and Biggest Loser, and Market Analysis for Equity Investors, Swing Traders, and Day Traders.",2016-06-14
AU Optronics Corp.,"http://www.bing.com/cr?IG=2CE334F9CEA24FB3A637A218B7DC3921&CID=19EEA0164DA46F1A2992A92C4C346EA2&rd=1&h=2jwLov__TIt5VQOUhxmf119TqbaGoD-tBHuQOXNOMOI&v=1&r=http%3a%2f%2fwww.whatech.com%2fmarket-research%2fconsumer%2f169931-research-details-developments-in-the-ultra-high-definition-uhd-panel-4k-market-2016-analysis-forecast-to-2021&p=DevEx,5033.1",Research details developments in the ultra high definition (UHD) panel (4k) market 2016 analysis & forecast to 2021,"Some other key players in this market are LG Display Co., Ltd., AU Optronics Corp., Innolux Corp., Sharp Corp., Panasonic Corp. and Sony Corp. High Level Analysis The market exploration provides a sketch of the whole UHD market using Porter’s Five Force ...",2016-06-11T16:03:00
AU Optronics Corp.,"http://www.bing.com/cr?IG=2CE334F9CEA24FB3A637A218B7DC3921&CID=19EEA0164DA46F1A2992A92C4C346EA2&rd=1&h=ajiuMlF95RYo5zCKHFufyK0hItjZkHwQShZtnKONGdM&v=1&r=http%3a%2f%2fwww.businesswire.com%2fnews%2fhome%2f20160616006467%2fen%2fUniversal-Display-Corporation-Holds-2016-Annual-Meeting&p=DevEx,5035.1",Universal Display Corporation Holds 2016 Annual Meeting of Shareholders,"Inc. The Company has also established relationships with companies such as AU Optronics Corporation, BOE Technology, DuPont Displays, Inc., Innolux Corporation, Kaneka Corporation, Konica Minolta Technology Center, Inc., LG Display Co., Ltd., Lumiotec ...",2016-06-16T21:20:00
AU Optronics Corp.,"http://www.bing.com/cr?IG=2CE334F9CEA24FB3A637A218B7DC3921&CID=19EEA0164DA46F1A2992A92C4C346EA2&rd=1&h=hSO7FFHUpxe9luXTcwI_H4sWNj8gAO5rMBHkHWWgWy0&v=1&r=http%3a%2f%2fempowerednews.net%2fultra-high-definition-uhd-panel-4k-market-opportunities-and-forecasts-to-2016-2021%2f18200067%2f&p=DevEx,5037.1",Ultra High Definition (UHD) Panel (4K) Market Opportunities and Forecasts to 2016 – 2021,"Some other key players in this market are LG Display Co., Ltd., AU Optronics Corp., Innolux Corp., Sharp Corp., Panasonic Corp. and Sony Corp. High Level Analysis The market exploration provides a sketch of the whole UHD market using Porter’s Five Force ...",2016-06-10T17:04:00
AU Optronics Corp.,"http://www.bing.com/cr?IG=2CE334F9CEA24FB3A637A218B7DC3921&CID=19EEA0164DA46F1A2992A92C4C346EA2&rd=1&h=pJas5x8ZSuS_-7WmmKazG-DTVwUC83iZyXkwIYCoAuY&v=1&r=http%3a%2f%2ffinance.yahoo.com%2fnews%2fau-optronics-corp-files-2015-070800408.html&p=DevEx,5039.1",AU Optronics Corp. Files 2015 Annual Report on Form 20-F,"Issued by: AU Optronics Corp. Issued on: March 21, 2016 AU Optronics Corp. (""AUO"" or the ""Company"") (TAIEX: 2409; NYSE: AUO) today announced that it has filed its annual report on Form 20-F for the year ended December 31, 2015 with the U.S. Securities and ...",2016-04-01T07:08:00
AU Optronics Corp.,"http://www.bing.com/cr?IG=2CE334F9CEA24FB3A637A218B7DC3921&CID=19EEA0164DA46F1A2992A92C4C346EA2&rd=1&h=0K6Mlj6igm9sPyHM0Po_r-wN3pAcJmOm8HX8WmbHSyU&v=1&r=http%3a%2f%2fwww.einnews.com%2fpr_news%2f329941095%2finteractive-display-market-to-grow-at-a-8-27-cagr-forecast-to-2022&p=DevEx,5041.1",Interactive Display Market to Grow at a 8.27% CAGR Forecast to 2022,"Wiseguyreports.com add report on “Global Interactive Display Market Outlook (2014-2022)” to its research database. PUNE, INDIA, June 8, 2016 /EINPresswire.com/ -- The Global Interactive Display market is estimated at $9 billion in 2014 and is expected ...",2016-06-09T02:55:00
AU Optronics Corp.,"https://www.bing.com/cr?IG=2CE334F9CEA24FB3A637A218B7DC3921&CID=19EEA0164DA46F1A2992A92C4C346EA2&rd=1&h=VH21o6U9oG-ZBksmV8PsowSuMZn4jUZwkLSPws6LGpI&v=1&r=https%3a%2f%2fbiz.yahoo.com%2fic%2f107%2f107576.html&p=DevEx,5043.1",AU OPTRONICS CORP. Company Profile,"If you use a laptop or a wireless handset, you could be looking at AU Optronics (AUO). The company is a leading manufacturer of flat-panel displays. TFT-LCD (thin-film transistor liquid-crystal display) panels provide a clear, sharp image -- even in poor ...",2016-06-15T03:12:00
