Company,URL,Title,Description,Date
Agency for Science Technology and Research,"http://www.bing.com/cr?IG=F5C8E248916049B389D419ED34474FBC&CID=06E5A2B903206D5B10CBAB8302B06C11&rd=1&h=02QNFPuRZ7HAIQX0LxIS_8sivvIiOlFngXFbPRT6TIY&v=1&r=http%3a%2f%2fen.prnasia.com%2fstory%2f152190-0.shtml&p=DevEx,5025.1",BD and A*STAR's Singapore Immunology Network Enter Research Partnership to Advance Cell Analysis Technologies,"a research institute under Singapore's Agency for Science, Technology and Research (A*STAR), with expertise in immunology and flow cytometry, today announced a research partnership aimed at improving existing cell analysis technologies in order to advance ...",2016-06-20T02:46:00
Agency for Science Technology and Research,"http://www.bing.com/cr?IG=F5C8E248916049B389D419ED34474FBC&CID=06E5A2B903206D5B10CBAB8302B06C11&rd=1&h=93Eha2gZcHJAzOFcKMUGBpSNwQqw_WxtyBY1B4N-cDk&v=1&r=http%3a%2f%2fwww.philstar.com%2fnation%2f2016%2f06%2f20%2f1594552%2fdost-ready-help-mindanao-farmers&p=DevEx,5027.1",DOST ready to help Mindanao farmers,"MANILA, Philippines – Agriculture scientists and experts from the Department of Science and Technology are ready ... Montejo said the agency’s agriculture and fisheries research and development arms have developed technologies and products that could ...",2016-06-20T03:59:00
Agency for Science Technology and Research,"http://www.bing.com/cr?IG=F5C8E248916049B389D419ED34474FBC&CID=06E5A2B903206D5B10CBAB8302B06C11&rd=1&h=mp7DBq206GRK4xuZI5ZQk_knumMMHIKLxwdmFwRAwOo&v=1&r=http%3a%2f%2fwww.thisdaylive.com%2findex.php%2f2016%2f06%2f07%2fnbrri-to-research-use-of-cement-for-road-construction%2f&p=DevEx,5029.1",NBRRI to Research Use of Cement for Road Construction,"With only 28,980km out of the 193,200km total length of roads paved, the federal government has directed the Nigerian Building and Road Research Institute (NBRRI), an agency under the Ministry of Science and Technology, to commence research immediately on ...",2016-06-07T00:38:00
Agency for Science Technology and Research,"https://www.bing.com/cr?IG=F5C8E248916049B389D419ED34474FBC&CID=06E5A2B903206D5B10CBAB8302B06C11&rd=1&h=o4PAVojfH2whsJ0TB9g4FsrLhzLBoCGd-z6dLvArqJk&v=1&r=https%3a%2f%2fwww.yahoo.com%2fnews%2fnasa-awards-grants-university-research-development-programs-203300910.html&p=DevEx,5031.1",NASA Awards Grants for University Research and Development Programs,The Experimental Program to Stimulate Competitive Research (EPSCoR) program supports science and technology research and development ... back to NASA where it may be used as part of ongoing agency work. The awardees and the title of their winning proposals ...,2016-06-16T21:10:00
Agency for Science Technology and Research,"http://www.bing.com/cr?IG=F5C8E248916049B389D419ED34474FBC&CID=06E5A2B903206D5B10CBAB8302B06C11&rd=1&h=8RdoqdxE-o3gs7zW7drMqZ8KiXb7AP7vwQnW_DrwDYk&v=1&r=http%3a%2f%2fwww.executivegov.com%2f2016%2f06%2fnasa-selects-11-educational-institutions-for-science-tech-rd-grants%2f&p=DevEx,5033.1","NASA Selects 11 Educational Institutions for Science, Tech R&D Grants","NASA will invest $8 million on research and technology development projects ... methods that can help NASA facilitate Earth science, aeronautics, human and robotic deep-space exploration missions. the agency said Friday.",2016-06-17T12:24:00
Agency for Science Technology and Research,"http://www.bing.com/cr?IG=F5C8E248916049B389D419ED34474FBC&CID=06E5A2B903206D5B10CBAB8302B06C11&rd=1&h=Aox9MuVbuzU3fpMAg32YdYHx1ebNuNUuzny3T2mhtQ0&v=1&r=http%3a%2f%2fwww.ecnmag.com%2fnews%2f2016%2f06%2fsilicon-rich-alloy-offers-enhanced-channeling-light-optical-computer-chips&p=DevEx,5035.1",Silicon-Rich Alloy Offers Enhanced Channeling of Light for Optical Computer Chips,"Now, researchers at Agency for Science, Technology and Research (A*STAR), Singapore, have developed an alloy that fits the bill, while achieving compatibility with existing silicon computer chip fabrication technology. ""Our waveguides will be an excellent ...",2016-06-07T16:15:00
Agency for Science Technology and Research,"http://www.bing.com/cr?IG=F5C8E248916049B389D419ED34474FBC&CID=06E5A2B903206D5B10CBAB8302B06C11&rd=1&h=-7Wt_pP1-dxeXRVJ2tBvWzHRLjLpuX15fBMln_NuChE&v=1&r=http%3a%2f%2fbusinesswireindia.com%2fnews%2fnews-details%2fpatient-safety-movement-applauds-agency-healthcare-research-quality-ahrq-medstar-health-developing-candor-toolkit%2f49052&p=DevEx,5037.1",Patient Safety Movement Applauds the Agency for Healthcare Research and Quality (AHRQ) & MedStar Health for Developing the CANDOR Toolkit,"The Patient Safety Movement Foundation (PSMF) recommends that healthcare organizations around the world implement the Communication and Optimal Resolution (CANDOR) online toolkit published by the Agency ... Patient Safety, Science and Technology summit.",2016-06-17T14:12:00
Agency for Science Technology and Research,"http://www.bing.com/cr?IG=F5C8E248916049B389D419ED34474FBC&CID=06E5A2B903206D5B10CBAB8302B06C11&rd=1&h=iN2ODQPznYjzTTLLWJZ2x3Vje4oJ9UACwL07VXwFTqI&v=1&r=http%3a%2f%2fwww.dnd.com.pk%2fyoung-scientist-from-south-waziristan-wins-pakistan-france-joint-research-project%2f112652&p=DevEx,5039.1",Young scientist from South Waziristan wins Pakistan-France Joint research project,"Young scientist Dr. Hameed Ullah, who belongs to beautiful Shakkai valley of South Waziristan Agency, and Dr. Pierre ... He has been recently awarded a research productivity award by the Pakistan Council for Science and Technology (Ministry of Science ...",2016-06-18T11:08:00
Agency for Science Technology and Research,"http://www.bing.com/cr?IG=F5C8E248916049B389D419ED34474FBC&CID=06E5A2B903206D5B10CBAB8302B06C11&rd=1&h=Vfelywvz65EqRAOcYzvD9YvBZDCFW5H2NJBJb-bd00w&v=1&r=http%3a%2f%2fwww.infozine.com%2fnews%2fstories%2fop%2fstoriesView%2fsid%2f64831%2f&p=DevEx,5041.1",University Research and Development Programs Receive NASA Grants,Washington DC - infoZine - The Experimental Program to Stimulate Competitive Research (EPSCoR) program supports science and technology research and development ... where it may be used as part of ongoing agency work. The awardees and the title of their ...,2016-06-17T16:27:00
Agency for Science Technology and Research,"http://www.bing.com/cr?IG=F5C8E248916049B389D419ED34474FBC&CID=06E5A2B903206D5B10CBAB8302B06C11&rd=1&h=s2g_umrur1WTiC4dDPND38Q5Nl1KWiZQmkN4GXQdfjI&v=1&r=http%3a%2f%2fwww.intelligent-aerospace.com%2farticles%2f2016%2f06%2fnasa-uae-partner-on-aeronautics-research-space-exploration-aerospace-technology-more.html&p=DevEx,5043.1","NASA, UAE partner on aeronautics research, space exploration, aerospace technology, more","United States and United Arab Emirates (UAE) aerospace officials have entered into an agreement to cooperate in aeronautics research ... observation and Earth science, aeronautics, space operations and exploration, education, technology, safety and ...",2016-06-17T08:27:00
