Company,URL,Title,Description,Date
Aisin Seiki K.K.,"http://www.bing.com/cr?IG=71B1150FA5024B4FBAE18CB54ABD4AB3&CID=1620FD14AC166CB41202F42EAD866D90&rd=1&h=WscKpRpcZByDoKrzHDKarb-I33pJMhuX5h03rNQRUdU&v=1&r=http%3a%2f%2fwww.japantimes.co.jp%2fnews%2f2008%2f12%2f16%2fbusiness%2ftakata-akebono-brake-seen-as-worst-hit-if-big-three-fold%2f&p=DevEx,5022.1","Takata, Akebono Brake seen as worst hit if Big Three fold","Denso and Aisin Seiki Co., Japan’s largest maker of car transmissions, sell the most to Detroit carmakers in absolute value among Japanese suppliers, according to UBS AG analyst Kunihiro Matsumoto, Institutional Investor magazine’s top-ranked Japan ...",2008-12-16
Aisin Seiki K.K.,"http://www.bing.com/cr?IG=71B1150FA5024B4FBAE18CB54ABD4AB3&CID=1620FD14AC166CB41202F42EAD866D90&rd=1&h=SuWqxz3303tVpGl3JBLWUReASiAWncLjv_3Wi_rTwn4&v=1&r=http%3a%2f%2fwardsauto.com%2fnews-analysis%2fbetter-abroad&p=DevEx,5024.1",Better Off Abroad,"Many Nissan suppliers were affected along the way: namely, Unisia JECS Corp., Ikeda Bussan Co. Ltd., Calsonic Corp., Kansei Corp., Ichikoh Industries Ltd., Tochigi Fuji Sangyo K.K. and JATCO Ltd ... the plan,” he says. Aisin Seiki Co. Ltd., the largest ...",2006-05-01
Aisin Seiki K.K.,"http://www.bing.com/cr?IG=71B1150FA5024B4FBAE18CB54ABD4AB3&CID=1620FD14AC166CB41202F42EAD866D90&rd=1&h=zJHpW0DIqBOPcMRpwBRoCIB7rMHP4KTGYQwX3h5XQPA&v=1&r=http%3a%2f%2fwww.toyokeizai.net%2fcsr%2flink%2f2015CSR_CompanyLink.html&p=DevEx,5026.1",Japanese Company CSR URL Lists,"LIMITED Pharmaceuticals 4578 Otsuka Holdings Co.,Ltd. Pharmaceuticals 070908 KYORIN Pharmaceutical Co.,Ltd. Pharmaceuticals 072014 Sanofi K.K. Pharmaceuticals 072261 TAISHO PHARMACEUTICAL CO.,LTD. Pharmaceuticals 008064 Pfizer Japan Inc. Oil & Coal ...",2014-12-15
Aisin Seiki K.K.,"http://www.bing.com/cr?IG=71B1150FA5024B4FBAE18CB54ABD4AB3&CID=1620FD14AC166CB41202F42EAD866D90&rd=1&h=MgoSuZdBZdjCeZvlyPEwCAn1ZsefQjF8jYtx7gCbOcQ&v=1&r=http%3a%2f%2fwww.japantoday.com%2fcategory%2ftechnology%2fview%2faisin-seiki-unveils-automotive-rear-view-system&p=DevEx,5028.1",Aisin Seiki unveils automotive rear-view system,"Aisin Seiki Co Ltd has developed a system that shows video being taken by a rear camera to the driver in a moving car to improve safety. The system was showcased at Automotive Engineering Exposition 2014 Nagoya, a trade show on automotive technologies ...",2014-12-25T22:05:24
Aisin Seiki K.K.,"http://www.bing.com/cr?IG=71B1150FA5024B4FBAE18CB54ABD4AB3&CID=1620FD14AC166CB41202F42EAD866D90&rd=1&h=MTXmEruNX-0j2hJBFvCLAZIowdhdl2iP4CTfLZhLbm0&v=1&r=http%3a%2f%2fwww.bloomberg.com%2fresearch%2fstocks%2fprivate%2fsnapshot.asp%3fprivcapId%3d5545052&p=DevEx,5030.1","Company Overview of Aisin Chemical Co., Ltd.","Aisin Chemical Co., Ltd. is engaged in the development, manufacturing, and sale of chemical products, friction materials, and plastic parts for automobiles. It offers damping coats, body sealers, underbody coating products, anti-corrosion paints ...",2016-06-15T03:01:00
Aisin Seiki K.K.,"http://www.bing.com/cr?IG=71B1150FA5024B4FBAE18CB54ABD4AB3&CID=1620FD14AC166CB41202F42EAD866D90&rd=1&h=EdDe6OhD7TRWXDW8Leje3eJ1oSXZKxMZE2kd0jPsRM8&v=1&r=http%3a%2f%2fwww.streetinsider.com%2fSEC%2bFilings%2fForm%2bN-Q%2bGOLDMAN%2bSACHS%2bTRUST%2bFor%253A%2bMar%2b31%2f11684404.html&p=DevEx,5032.1",Form N-Q GOLDMAN SACHS TRUST For: Mar 31,The percentage shown for each investment category reflects the value of investments in that category as a percentage of net assets. * Non-income producing security. (a) All or a portion of security is on loan. (b) All or a portion of security is segregated ...,2016-05-27T01:36:00
Aisin Seiki K.K.,"http://www.bing.com/cr?IG=71B1150FA5024B4FBAE18CB54ABD4AB3&CID=1620FD14AC166CB41202F42EAD866D90&rd=1&h=RubGjR-IxMSMF5PM8xf0tcD9jbUpzLye85BZP0IWcAc&v=1&r=http%3a%2f%2fwww.google.co.in%2fpatents%2fUS4869536&p=DevEx,5034.1",Vehicle door latch with secondary fork,"A vehicle door latch for use in combination with a door bolt has a housing formed with a horizontally open recess in which the bolt is receivable, a latch fork formed with a fork seat, and a fork pivot to one vertical side of the recess on the housing ...",2015-08-16
Aisin Seiki K.K.,"http://www.bing.com/cr?IG=71B1150FA5024B4FBAE18CB54ABD4AB3&CID=1620FD14AC166CB41202F42EAD866D90&rd=1&h=C_8Lnf_gQsGpwD7v-IZU6z2RKLKQ7lh2fTjerHJCgVU&v=1&r=http%3a%2f%2fwww.4-traders.com%2fAEON-FINANCIAL-SERVICE-CO-6493674%2fcompany%2f&p=DevEx,5036.1",AEON FINANCIAL SERVICE CO LTD,"AEON Financial Service Co., Ltd. engages in the provision of financial services. It operates through the following segments: Credit Business, Fee Business, Banking Business and Overseas. The Credit Business segment handles the installment sales finance ...",2016-03-29
Aisin Seiki K.K.,"http://www.bing.com/cr?IG=71B1150FA5024B4FBAE18CB54ABD4AB3&CID=1620FD14AC166CB41202F42EAD866D90&rd=1&h=iT_vvDfhVcMGMX4Ghs44VzxvYDSzb2r9IDaOQ_54QQo&v=1&r=http%3a%2f%2fwww.google.it%2fpatents%2fUS5169067&p=DevEx,5038.1",Electromagnetically operated ultrasonic fuel injection device,"An injection device includes a housing, a first member accommodated in the housing and having an inner space which is terminated at one side thereof in a seat, a second member having at one end thereof a head and disposed in the inner space of the nozzle ...",2002-02-12
Aisin Seiki K.K.,"https://www.bing.com/cr?IG=71B1150FA5024B4FBAE18CB54ABD4AB3&CID=1620FD14AC166CB41202F42EAD866D90&rd=1&h=Xf1ZXMm07kBeKUzL5nMOvC1GO5NrCKMDJWQIj1xJ3kU&v=1&r=https%3a%2f%2fforextv.com%2ftag%2fassessment%2f&p=DevEx,5040.1",Tag: assessment,"(“Panoro”, the “Company”) is pleased to announce that it has received the results of an independent Preliminary Economic Assessment (“PEA”) of the Company’s 100% owned Antilla project in Peru. The Antilla project is a copper-molybdenum ...",2016-05-02
