Company,URL,Title,Description,Date
Cleversafe Inc.,"http://www.bing.com/cr?IG=6DA112D65AC24A56B00DEA8538CC13DB&CID=1D3A3C02A7636B1B11033538A6F36A24&rd=1&h=RRcjwoUnkumtYX6k2xaEj7gh171ng1FUbuPiapfKbRI&v=1&r=http%3a%2f%2fwww.bloomberg.com%2fresearch%2fstocks%2fprivate%2fsnapshot.asp%3fprivcapId%3d28464986&p=DevEx,5023.1","Company Overview of Cleversafe, Inc.","Cleversafe, Inc. develops Web-scale storage solutions. It offers an enterprise storage solution that enables businesses to store, manage, and access data at petabyte scale and more. The company provides content repository, Storage-as-a-Service, enterprise ...",2016-06-15T17:36:00
Cleversafe Inc.,"http://www.bing.com/cr?IG=6DA112D65AC24A56B00DEA8538CC13DB&CID=1D3A3C02A7636B1B11033538A6F36A24&rd=1&h=p-7tPtEPiQZvZWdygW2qNnwFjui4xAh44_hrFPujqF4&v=1&r=http%3a%2f%2fsearchcloudstorage.techtarget.com%2fnews%2f2240210798%2fCleversafe-Inc-bumps-up-performance-for-object-storage-appliance&p=DevEx,5025.1",Cleversafe Inc. bumps up performance for object storage appliance,Object storage vendor Cleversafe Inc. today rolled out two new faster-performing Slicestor appliances -- including an all-flash version-- and a software feature that allows data to bypass erasure coding for faster access. Every cloud storage option has its ...,2013-12-10T17:00:14
Cleversafe Inc.,"http://www.bing.com/cr?IG=6DA112D65AC24A56B00DEA8538CC13DB&CID=1D3A3C02A7636B1B11033538A6F36A24&rd=1&h=Qksd1oYP0p224Lz47DB7jeixByiFbZTJinQsazXZ3Xo&v=1&r=http%3a%2f%2fwww.storagereview.com%2fibm_to_acquire_cleversafe&p=DevEx,5027.1",IBM To Acquire Cleversafe,Today IBM announced that it has entered into a definitive agreement to acquire Cleversafe Inc. later this year. Cleversafe being a lead developer and manufacturer of object-based storage software and appliances will strength IBM’s position in storage and ...,2015-10-05T17:18:50
Cleversafe Inc.,"http://www.bing.com/cr?IG=6DA112D65AC24A56B00DEA8538CC13DB&CID=1D3A3C02A7636B1B11033538A6F36A24&rd=1&h=0Pwo0N6ippFbo4dx8PtucnrRcqx2uZFDY-wjzY1Dd1g&v=1&r=http%3a%2f%2fwww.prnewswire.com%2fnews-releases%2fcleversafe-inc-granted-five-patents-for-dispersed-storage-technology-120270049.html&p=DevEx,5029.1",Cleversafe Inc. Granted Five Patents for Dispersed Storage Technology,"Cleversafe is the first company to commercialize dispersed storage systems. Its proprietary technology defies conventional storage pitfalls by using algorithms to divide data into ""slices"" and disperses them, via secure network connections, to one or more ...",2011-04-20T12:00:00
Cleversafe Inc.,"http://www.bing.com/cr?IG=6DA112D65AC24A56B00DEA8538CC13DB&CID=1D3A3C02A7636B1B11033538A6F36A24&rd=1&h=p4SbWpHf5ADNxl712fry-oXLSqsdQfyZGTHO63jJO_4&v=1&r=http%3a%2f%2fwww.chicagobusiness.com%2farticle%2f20130820%2fBLOGS11%2f130819806%2fbig-dough-for-big-data-cleversafe-lands-55-million&p=DevEx,5031.1",Big dough for big data: Cleversafe lands $55 million,"Cleversafe Inc. has landed a huge pile of cash to continue its expansion and rewrite the code on data storage. Investors, led by New Enterprise Associates, have poured another $55 million into the fast-growing storage-software company in hopes of getting ...",2013-08-20T11:45:30
Cleversafe Inc.,"http://www.bing.com/cr?IG=6DA112D65AC24A56B00DEA8538CC13DB&CID=1D3A3C02A7636B1B11033538A6F36A24&rd=1&h=hIxBWV1YlUhrPDiptD5rhBgRNJ0vsC4G2L5GngWo3rQ&v=1&r=http%3a%2f%2fwww.bizjournals.com%2fchicago%2fnews%2f2013%2f08%2f20%2fcleversafe-lands-55-million-in-funding.html&p=DevEx,5033.1",Cleversafe lands $55 million in funding,"Cleversafe Inc. has raised $55 million in a new round of venture funds that it will use to expand its data storage business. In conjunction with the financing, NEA Managing General Partner Peter Barris will join Cleversafe’s board. Cleversafe makes ...",2013-08-21T08:31:00
Cleversafe Inc.,"http://www.bing.com/cr?IG=6DA112D65AC24A56B00DEA8538CC13DB&CID=1D3A3C02A7636B1B11033538A6F36A24&rd=1&h=gr_NQQQtBv-kz6WoRFZ9ocsTgCLJOlf9yc_0mkh1Dmo&v=1&r=http%3a%2f%2fmspmentor.net%2fcloud-computing%2fcleversafe-datatility-partner-multi-functional-cloud-storage-platform&p=DevEx,5035.1","Cleversafe, Datatility Partner for Multi-functional Cloud Storage Platform","Managed services provider (MSP) Datatility has partnered with data storage solutions provider Cleversafe, Inc. to create a multi-functional cloud storage platform for customers with storage challenges. Datatility's Hydra Cloud, based on Cleversafe’s ...",2013-11-05T14:53:03
Cleversafe Inc.,"http://www.bing.com/cr?IG=6DA112D65AC24A56B00DEA8538CC13DB&CID=1D3A3C02A7636B1B11033538A6F36A24&rd=1&h=uRXjPwGfmv64W40zC7m9v34eb_pWXxsxq9vrVXjs8hs&v=1&r=http%3a%2f%2fwww.reuters.com%2farticle%2fil-cleversafe-idUSnBw055714a%2b100%2bBSW20150105&p=DevEx,5037.1",Cleversafe Named a Leader in IDC MarketScape for Object-Based Storage,"Evaluation Based on Capabilities and Strategies to Serve Growing Enterprise-class Deployments Cleversafe Inc., the industry-leading object-based storage provider, was named a Leader in the IDC MarketScape: Worldwide Object-Based Storage 2014 Vendor ...",2015-01-05T09:05:00
Cleversafe Inc.,"http://www.bing.com/cr?IG=6DA112D65AC24A56B00DEA8538CC13DB&CID=1D3A3C02A7636B1B11033538A6F36A24&rd=1&h=9crTmoFiS442f_SIxtXI0mC-iqdus2g3ibAyFLZL60I&v=1&r=http%3a%2f%2fwww.chicagotribune.com%2fbluesky%2foriginals%2fchi-chris-gladwin-cleversafe-bsi-20140818-story.html&p=DevEx,5039.1",Chris Gladwin: Why starting a tech company might be a marathon instead of a sprint,"... founded technology company Cruise Technologies Inc. and what would become MusicNow Inc. He has spent a decade building his latest startup, Chicago-based Cleversafe Inc. He launched the business in 2004 to create a new way to store large amounts of ...",2014-08-18
Cleversafe Inc.,"http://www.bing.com/cr?IG=6DA112D65AC24A56B00DEA8538CC13DB&CID=1D3A3C02A7636B1B11033538A6F36A24&rd=1&h=wABCIvuaniC6M94gvQ6T_E59OMpAc6x6T_r1giIW9-s&v=1&r=http%3a%2f%2ffinance.yahoo.com%2fnews%2fcleversafe-posts-triple-digit-revenue-140500166.html&p=DevEx,5041.1","Cleversafe Posts Triple-Digit Revenue Growth, Strengthening Market Leadership Position in 1H 2015","Cleversafe, Inc., the web-scale storage market share leader, today announced triple-digit revenue growth in the first half of 2015, capturing new customers like the University of Chicago, Hogarth, and Solid State Solutions. Partnerships with HP and ...",2015-07-28T14:05:00
