Company,URL,Title,Description,Date
Halliburton Energy Services Inc.,"http://www.bing.com/cr?IG=2F5FB629E3114969919657A6F4C9ABC5&CID=36D3CADEA9266EC02F7AC3E4A8B66F85&rd=1&h=Zx6MhehUj6Ei_ZsJSmBFbvR0wB3uzwQt3cQDym4bBKc&v=1&r=http%3a%2f%2fwww.oilandgasinvestor.com%2fmerger-collapse-weakens-halliburton-baker-hughes-credit-ratings-905466&p=DevEx,5021.1","Merger Collapse Weakens Halliburton, Baker Hughes' Credit Ratings","Since the U.S. Department of Justice effectively shut down the Halliburton ... Baker Hughes Inc. (NYSE: BHI) merger announced in November 2014, both companies have been introspective about their future. So, too, has Moody’s Investors Service.",2016-06-07T19:28:00
Halliburton Energy Services Inc.,"http://www.bing.com/cr?IG=2F5FB629E3114969919657A6F4C9ABC5&CID=36D3CADEA9266EC02F7AC3E4A8B66F85&rd=1&h=FdGxz6gfW--kxRrDdI23Wnda6yoEKNuixZMjmzBWvsw&v=1&r=http%3a%2f%2fwww.bloomberg.com%2fresearch%2fstocks%2fprivate%2fsnapshot.asp%3fprivcapId%3d952391&p=DevEx,5023.1","Company Overview of Halliburton Energy Services, Inc.","Halliburton Energy Services, Inc. provides products, services, and integrated solutions for oil and gas exploration, development, and production. The company’s products and services include surface well testing and tubing-conveyed perforating equipment ...",2016-06-17T14:39:00
Halliburton Energy Services Inc.,"http://www.bing.com/cr?IG=2F5FB629E3114969919657A6F4C9ABC5&CID=36D3CADEA9266EC02F7AC3E4A8B66F85&rd=1&h=QMg561yFeg-VglzyU_kpox6Z-S9RZV5KBz4EeMNRjm8&v=1&r=http%3a%2f%2fwww.insidermonkey.com%2fblog%2fheres-why-traders-are-buzzing-about-these-five-stocks-3-457940%2f&p=DevEx,5025.1",Here’s Why Traders Are Buzzing about These Five Stocks,"Union Pacific Corporation (NYSE:UNP) and Alphabet Inc (NASDAQ ... few weeks after Halliburton Company (NYSE:HAL)‘s planned merger with Baker Hughes Incorporated (NYSE:BHI) unraveled, credit ratings agency Moody’s cut both energy service companies ...",2016-06-06T14:10:00
Halliburton Energy Services Inc.,"http://www.bing.com/cr?IG=2F5FB629E3114969919657A6F4C9ABC5&CID=36D3CADEA9266EC02F7AC3E4A8B66F85&rd=1&h=31s8l6Z5ByynYfIm0FWr-a4ZnNq66GlrqZId_sJyf1A&v=1&r=http%3a%2f%2fwww.einnews.com%2fpr_news%2f330715025%2fglobal-petroleum-show-continues-to-diversify-as-attendees-explore-the-future-of-the-energy-industry&p=DevEx,5027.1","Global Petroleum Show Continues to Diversify, as Attendees Explore the Future of the Energy Industry","Notable highlights from GPS 2016 include: -- The new Ultimate Fracking Experience highlighted field equipment and presentations from industry leaders Propell Oilfield Equipment, Weir Oil & Gas, Calfrac Well Services, Halliburton Group Canada and Trican ...",2016-06-13T17:28:00
Halliburton Energy Services Inc.,"http://www.bing.com/cr?IG=2F5FB629E3114969919657A6F4C9ABC5&CID=36D3CADEA9266EC02F7AC3E4A8B66F85&rd=1&h=ffdsQsKNdNLO3dIV0uTt6lwwtH6Vv419NGeZvaUP7ek&v=1&r=http%3a%2f%2fwww.naturalgasintel.com%2farticles%2f106679-moodys-downgrades-baker-hughes-halliburton&p=DevEx,5029.1","Moody's Downgrades Baker Hughes, Halliburton","One month after scuttling their planned merger, Baker Hughes Inc. and Halliburton Co. were dealt another setback on Friday after Moody's Investors Service downgraded their ... ""Depending on the pace of a broader energy market recovery, Halliburton's ...",2016-06-07
Halliburton Energy Services Inc.,"http://www.bing.com/cr?IG=2F5FB629E3114969919657A6F4C9ABC5&CID=36D3CADEA9266EC02F7AC3E4A8B66F85&rd=1&h=RaLJ6HVzw91kCXN0GiTJ1DhgSsK1y9gqr5sKGhqWTcE&v=1&r=http%3a%2f%2fwww.marketwired.com%2fpress-release%2fartificial-lift-systems-market-size-estimated-reach-2961-billion-2022-grand-view-research-2131410.htm&p=DevEx,5031.1","Artificial Lift Systems Market Size Estimated to Reach $29.61 Billion by 2022: Grand View Research, Inc.","Halliburton Company, Flotek Industries, Inc., Kudu Industries, Inc., Schlumberger Limited, Dover Corporation, National Oilwell Varco, Inc., Superior Energy Services, Inc., and Weatherford International Ltd. Access press release of this research report by ...",2016-06-06T10:37:00
Halliburton Energy Services Inc.,"http://www.bing.com/cr?IG=2F5FB629E3114969919657A6F4C9ABC5&CID=36D3CADEA9266EC02F7AC3E4A8B66F85&rd=1&h=TUBxUITk59Uc0mAZs6tOa6ShmBCht5dwK7vzHgiLvQw&v=1&r=http%3a%2f%2f247wallst.com%2fenergy-business%2f2016%2f06%2f19%2fover-20-key-oil-gas-analyst-upgrades-and-downgrades%2f&p=DevEx,5033.1",Over 20 Key Oil & Gas Analyst Upgrades and Downgrades,"Denbury Resources Inc. (NYSE: DNR) was raised to Hold from Sell at Stifel on June 15. Genesis Energy LP (NYSE: GEL) was reiterated as Buy at Janney on June 15, but the firm raised its fair value estimate to $44.00 from $32.00. Halliburton Company (NYSE ...",2016-06-19T15:36:00
Halliburton Energy Services Inc.,"http://www.bing.com/cr?IG=2F5FB629E3114969919657A6F4C9ABC5&CID=36D3CADEA9266EC02F7AC3E4A8B66F85&rd=1&h=lMx77Sesfj8_kUFeu6nkFu0nOdyE1Tctm6e_gBiTT_c&v=1&r=http%3a%2f%2fwww.therecorder.com%2fid%3d1380709896155%2fHalliburton-Energy-Services-Inc-v-Department-of-Transportation&p=DevEx,5035.1","Halliburton Energy Services, Inc. v. Department of Transportation",Your article was successfully shared with the contacts you provided. The Fifth Appellate District affirmed a judgment. The court held that the incidental-benefit exception to the going and coming rule did not apply to impose respondeat superior liability ...,2013-10-02
Halliburton Energy Services Inc.,"http://www.bing.com/cr?IG=2F5FB629E3114969919657A6F4C9ABC5&CID=36D3CADEA9266EC02F7AC3E4A8B66F85&rd=1&h=9TZJ9Ct1Mr5RPwMZGtMGZ7Xc_OecMR3U-aXbAtJrd5I&v=1&r=http%3a%2f%2fwww.prnewswire.com%2fnews-releases%2fdrilling-waste-management-market-by-service-application--region---global-forecast-to-2020-300281254.html&p=DevEx,5037.1","Drilling Waste Management Market by Service, Application, & Region - Global Forecast to 2020","Schlumberger Ltd. (U.S.), National Oilwell Varco (U.S.), Halliburton Co. (U.S.), Secure Energy Services, Inc. (Canada), Scomi Group Bhd (Malaysia), Kosun (China), TWMA (U.K.), Ridgeline Energy Services (Canada), Soli-Bond, Inc. (U.S.), Newalta (Canada ...",2016-06-07T22:43:00
Halliburton Energy Services Inc.,"http://www.bing.com/cr?IG=2F5FB629E3114969919657A6F4C9ABC5&CID=36D3CADEA9266EC02F7AC3E4A8B66F85&rd=1&h=kILxYjSCPRq7V3Ly2LZhoKPXCWnPU0M9ajMFFpJmQQk&v=1&r=http%3a%2f%2fwww.bakersfield.com%2fNews%2f2015%2f09%2f17%2fhalliburton-plans-54-local-layoffs-in-third-round-of-staffing-cuts-this-year.html&p=DevEx,5039.1",Halliburton plans 54 local layoffs in third round of staffing cuts this year,"Halliburton Energy Services Inc. served notice Thursday it plans to lay off 54 local employees, marking at least the third time this year the Houston-based oil field contractor will have cut its staff in Kern County. The layoffs at the company’s offices ...",2015-09-17T04:36:00
