Company,URL,Title,Description,Date
Heidelberger Druckmaschinen AG,"http://www.bing.com/cr?IG=906C125484BB4720B55F4F2CCCC21840&CID=037F06F50A5D69DE3ABD0FCF0BCD6825&rd=1&h=l7EXMoXaYxO433WZD_5l7fA2v7n1ir2IdXDnTmz10eI&v=1&r=http%3a%2f%2fbreakingfinancenews.com%2finvesting%2fheidelberger-druckmaschinen-etrhdd-target-price-maintained-to-eur0-as-covered-today-by-dz-bank-ag%2f7284%2f&p=DevEx,5027.1",Heidelberger Druckmaschinen (ETR:HDD) target price maintained to EUR0 as covered today by DZ-Bank AG,Heidelberger Druckmaschinen (ETR:HDD) had its estimated target price hold steady to EUR0 by DZ-Bank AG in an issued report announced 6/12/2016. The target price implies a potential downside of -1.00% from the company’s last closing price. Yesterday ...,2016-06-18
Heidelberger Druckmaschinen AG,"http://www.bing.com/cr?IG=906C125484BB4720B55F4F2CCCC21840&CID=037F06F50A5D69DE3ABD0FCF0BCD6825&rd=1&h=t40zatmBwxcgfQkwyz2Ynamj6UuiLktQlaN9m3zDjzo&v=1&r=http%3a%2f%2fglobenewswire.com%2fnews-release%2f2016%2f06%2f15%2f848828%2f0%2fen%2fDGAP-DD-Heidelberger-Druckmaschinen-AG-english.html%3ff%3d22%26fvtc%3d7&p=DevEx,5029.1",DGAP-DD: Heidelberger Druckmaschinen AG english,Notification concerning transactions by persons performing managerial responsibilities pursuant to section 15a of the WpHG Directors' Dealings notification transmitted by DGAP – a service of EQS Group AG. The person with duty of notification is solely ...,2016-06-15T14:46:00
Heidelberger Druckmaschinen AG,"http://www.bing.com/cr?IG=906C125484BB4720B55F4F2CCCC21840&CID=037F06F50A5D69DE3ABD0FCF0BCD6825&rd=1&h=agykQ7hr6BTje_TZ9jQRI7pkrrFjLkHEEbvueiXb9NM&v=1&r=http%3a%2f%2fwww.rttnews.com%2f2657417%2fheidelberger-druckmaschinen-targets-fy-sales-growth-of-up-to-4.aspx&p=DevEx,5031.1",Heidelberger Druckmaschinen Targets FY Sales Growth Of Up To 4%,"Printing machines maker Heidelberger Druckmaschinen AG (HBGRF.PK) said that it targets sales growth of up to 4 percent in the current financial year 2016/2017. In the medium term, the plan is to achieve an annual increase of up to 4 percent in Group sales ...",2016-06-08T05:43:00
Heidelberger Druckmaschinen AG,"http://www.bing.com/cr?IG=906C125484BB4720B55F4F2CCCC21840&CID=037F06F50A5D69DE3ABD0FCF0BCD6825&rd=1&h=czp5AcsKD5UbV9u8w8Ncn5KEMD2AIsFT-w-oNT63WMQ&v=1&r=http%3a%2f%2fwww.4-traders.com%2fHEIDELBERGER-DRUCKMASCHIN-4126082%2fnews%2fHeidelberger-Druckmaschinen-Heidelberg-on-Course-for-Growth-22488832%2f&p=DevEx,5033.1",Heidelberger Druckmaschinen : Heidelberg on Course for Growth,Contact for further details: Heidelberger Druckmaschinen AG EmptyBreak:MARKER Corporate Public Relations Thomas Fichtl Phone: +49(0)6222-82-67123 Fax: +49(0)6222-82-67129 E-mail: Thomas.Fichtl@heidelberg.com EmptyBreak:MARKER Investor Relations Robin Karpp ...,2016-06-08T05:47:00
Heidelberger Druckmaschinen AG,"http://www.bing.com/cr?IG=906C125484BB4720B55F4F2CCCC21840&CID=037F06F50A5D69DE3ABD0FCF0BCD6825&rd=1&h=TWN3kTfbz2Wfd4TrvgnXTbyfsiwXGrRAb7FU1PmSzCc&v=1&r=http%3a%2f%2fwww.prnewswire.co.uk%2fnews-releases%2fheidelberg-on-course-for-growth-582191521.html&p=DevEx,5035.1",Heidelberg on Course for Growth,"Heidelberger Druckmaschinen AG (Heidelberg) set the course for growth and sustained profitability in financial year 2015/2016 (April 1, 2015 to March 31, 2016). The effects of the successful strategic reorientation over the past few years are being felt.",2016-06-08T06:13:00
Heidelberger Druckmaschinen AG,"http://www.bing.com/cr?IG=906C125484BB4720B55F4F2CCCC21840&CID=037F06F50A5D69DE3ABD0FCF0BCD6825&rd=1&h=IWv1D8ethYOfH5nyrpsVwj0_gpr-SE7_jpKBcNvVnXU&v=1&r=http%3a%2f%2fwww.graphicrepro.co.za%2fasp%2fnews_long.asp%3fnid%3d26081&p=DevEx,5037.1",Heidelberg on course for growth,"At a press conference for the Business Press held during drupa in Düsseldorf, on Wednesday 8 June 2016, Heidelberger Druckmaschinen AG (Heidelberg) announced that it set the course for growth and sustained profitability in financial year 2015/2016 (1 ...",2016-06-14T16:39:01
Heidelberger Druckmaschinen AG,"http://www.bing.com/cr?IG=906C125484BB4720B55F4F2CCCC21840&CID=037F06F50A5D69DE3ABD0FCF0BCD6825&rd=1&h=08ofEBvWInBUc4Gah08D4TlF5s-679wbi7sP9RQ94Eg&v=1&r=http%3a%2f%2fwww.worldpressonline.com%2fPressRelease%2ffujifilm-and-heidelberg-target-growth-potential-of-the-industry-53362.html&p=DevEx,5039.1",Fujifilm and Heidelberg target growth potential of the industry,"and Heidelberger Druckmaschinen AG (Heidelberg), Shigetaka Komori and Dr. Gerold Linzbach confirmed successful partnership and agreed to seek further collaboration between the two companies to target growth potentials in the printing industry. World ...",2016-06-06T13:49:00
Heidelberger Druckmaschinen AG,"http://www.bing.com/cr?IG=906C125484BB4720B55F4F2CCCC21840&CID=037F06F50A5D69DE3ABD0FCF0BCD6825&rd=1&h=ULfX2FeF3qNYF8VWen5oAmjHcf0S-vBC85LrXhZNfxE&v=1&r=http%3a%2f%2fwww.piworld.com%2farticle%2fdrupa-2016-reported-a-resounding-success-with-plenty-of-business-deals-strong-investment-climate%2f&p=DevEx,5041.1",drupa 2016 Wraps Up: 260K Visitors from 188 Countries; 29% Placed Orders at Show,"Heidelberger Druckmaschinen AG, Gerold Linzbach, CEO “We are very satisfied with the outcome of the trade fair. Thanks to drupa, Heidelberg starts into the new business with a positive outlook. Our motto Simply Smart was a success with visitors.",2016-06-10T21:54:00
Heidelberger Druckmaschinen AG,"http://www.bing.com/cr?IG=906C125484BB4720B55F4F2CCCC21840&CID=037F06F50A5D69DE3ABD0FCF0BCD6825&rd=1&h=Z9s2J7FMwtrd8PD49E9a7nuBlXwt62R7dbFMM3ykihk&v=1&r=http%3a%2f%2fwww.reuters.com%2ffinance%2fstocks%2foverview%3fsymbol%3dHDDG.DE&p=DevEx,5043.1",Heidelberger Druckmaschinen AG (HDDG.DE),"Heidelberger Druckmaschinen AG is a Germany-based company that develops, produces and distributes technology for commercial and packaging printing. It has three segments: Heidelberg Equipment, comprising new machinery business; Heidelberg Services ...",2016-06-14
Heidelberger Druckmaschinen AG,"http://www.bing.com/cr?IG=906C125484BB4720B55F4F2CCCC21840&CID=037F06F50A5D69DE3ABD0FCF0BCD6825&rd=1&h=lyUkl-soxsluCDxlU4zXi1a9ty-LvbGomErsUK2bEQ8&v=1&r=http%3a%2f%2fwww.ad-hoc-news.de%2fheidelberger-druckmaschinen-ag-de0007314007--%2fde%2fNews%2f49728840&p=DevEx,5045.1","Heidelberger Druckmaschinen AG, DE0007314007",% of voting % of voting rights total of total number rights attached through instruments both in % of voting to shares (total (total of 7.b.1 + (7.a. + rights of of 7.a.) 7.b.2) 7.b.) issuer Result- 5.12 % 0 % 5.12 % 257437779 ing situat- ion Previo- 3.21 ...,2016-05-20T07:36:59
Heidelberger Druckmaschinen AG,"http://www.bing.com/cr?IG=906C125484BB4720B55F4F2CCCC21840&CID=037F06F50A5D69DE3ABD0FCF0BCD6825&rd=1&h=r5NkySLs7o54W11Y1hm_irQ0NiE7Pv4IyOhl4Hg55f8&v=1&r=http%3a%2f%2fwww.fieldtechnologiesonline.com%2fdoc%2fheidelberger-druckmaschinen-ptc-thingworx-smart-printers-globe-0001&p=DevEx,5047.1",Heidelberger Druckmaschinen AG Uses PTC ThingWorx Technology To Provide Smart Service For Printers And Systems Across The Globe,"PTC’s Internet of Things (IoT) Solution Helps Improve Customer Satisfaction by Enabling Remote Resolution of 70 Percent of Service Issues PTC recently announced Heidelberger Druckmaschinen AG(Heidelberg), a major provider to the global printing industry ...",2016-05-25
