Company,URL,Title,Description,Date
Intersil Americas Inc.,"http://www.bing.com/cr?IG=B1914261A842441BB87856E72749B8A6&CID=2703984FF9016B240F409175F8916AFE&rd=1&h=XfqLOP4wV5Aa3Ld0_cbTeLZ1xeghDpGqjwyUZA4w8IE&v=1&r=http%3a%2f%2fwww.tickerreport.com%2fbanking-finance%2f1880084%2fintersil-corp-isil-sees-strong-trading-volume%2f&p=DevEx,5062.1",Intersil Corp (ISIL) Sees Strong Trading Volume,"Liberty Mutual Group Asset Management Inc. now owns 85,195 shares of the company’s stock worth $1,086,000 after buying an additional 29,024 shares in the last quarter. Mutual of America Capital Management LLC boosted its position in Intersil Corp by 2.7% ...",2016-06-19T13:39:00
Intersil Americas Inc.,"http://www.bing.com/cr?IG=B1914261A842441BB87856E72749B8A6&CID=2703984FF9016B240F409175F8916AFE&rd=1&h=nv5_YWCJCIiL8dDw32XVmP4_FsdDRLuJzNp9yp3Z-5o&v=1&r=http%3a%2f%2fwww.whatech.com%2fmarket-research%2fenergy%2f168073-battery-management-system-market-by-battery-type-expected-to-worth-7-25-billion-by-2022-according-to-new-research-report&p=DevEx,5025.1",Battery management system market by battery type expected to worth 7.25 billion by 2022 according to new research report,"North America held the largest market share in 2015 North America ... (U.K.), Lithium Balance A/S (Denmark), Nuvation Engineering (U.S.), Valence Technology, Inc. (U.S.), Intersil Corporation (U.S.), Linear Technology Corp (U.S.), NXP Semiconductors ...",2016-06-07T14:08:00
Intersil Americas Inc.,"http://www.bing.com/cr?IG=B1914261A842441BB87856E72749B8A6&CID=2703984FF9016B240F409175F8916AFE&rd=1&h=WDT92X5gtS4_oHlC3yqc6krlrv0W7Uym0dSJfLfNO6s&v=1&r=http%3a%2f%2fwww.bizjournals.com%2fprnewswire%2fpress_releases%2f2016%2f06%2f08%2fBR19704&p=DevEx,5027.1","Battery Management System Market by Battery Type, Component, Topology, Application, and Geography - Global Trend and Forecast to 2022","""North America expected to hold the largest market share by ... (U.K.), Lithium Balance A/S (Denmark), Nuvation Engineering (U.S.), Valence Technology, Inc. (U.S.), Intersil Corporation (U.S.), Linear Technology Corp (U.S.), NXP Semiconductors N.V ...",2016-06-09T00:02:00
Intersil Americas Inc.,"http://www.bing.com/cr?IG=B1914261A842441BB87856E72749B8A6&CID=2703984FF9016B240F409175F8916AFE&rd=1&h=VTBMniYG8jhQYsX0pVtj52ymtlGyRyOSiRxF3enJuGM&v=1&r=http%3a%2f%2fwww.theautochannel.com%2fnews%2f2003%2f04%2f09%2f158976.html&p=DevEx,5029.1",Intersil Introduces Performance- and Cost-Optimized ACPI-Compliant Endura Power Solutions for DDR and DDR2 Memory Arrays,http://www.intersil.com Endura is a trademark of Intersil Americas Inc. Intel is a registered trademark of Intel Corporation. All other trademarks mentioned are the property of their respective owners.,2003-04-09
Intersil Americas Inc.,"http://www.bing.com/cr?IG=B1914261A842441BB87856E72749B8A6&CID=2703984FF9016B240F409175F8916AFE&rd=1&h=GgoMLGw0fZFmFLfRAt8nHrelu_pZZJlNopXaN77YG_o&v=1&r=http%3a%2f%2fwww.businesswire.com%2fnews%2fhome%2f20030319005065%2fen%2fIntersils-PRISM-GT-802.11g-WLAN-Chip-Set&p=DevEx,5031.1",Intersil's PRISM GT 802.11g WLAN Chip Set Drives New Wireless Applications for EAZIX,Note to all Editors: EAZIX is spelled in all CAPS. PRISM is a registered trademark and PRISM GT is a trademark of Intersil Americas Inc. All other trademarks mentioned are the property of their respective owners.,2003-03-19T03:00:00
Intersil Americas Inc.,"http://www.bing.com/cr?IG=B1914261A842441BB87856E72749B8A6&CID=2703984FF9016B240F409175F8916AFE&rd=1&h=_6APy3FOQc2dkB8Y_RzqEx3fPcU3BngqQqqqyWw_EEk&v=1&r=http%3a%2f%2farticles.orlandosentinel.com%2f2003-09-29%2fbusiness%2f0309270147_1_orlando-perez-lake-mary-method&p=DevEx,5033.1",Utility Patents,"Central Florida inventors who have recently received utility patents include: Peter El Kwan Chow ... receiver for direct sequence spread spectrum waveform. Assigned to Intersil Americas Inc., Milpitas, Calif. (6,614,836) James A. Proctor Jr., Indialantic ...",2003-09-29
Intersil Americas Inc.,"http://www.bing.com/cr?IG=B1914261A842441BB87856E72749B8A6&CID=2703984FF9016B240F409175F8916AFE&rd=1&h=FnfJcctsNXH8jBSWvGLwk16E9emXN57iB8u4ygWVg5s&v=1&r=http%3a%2f%2fwww.orlandosentinel.com%2fbusiness%2fos-cfb-patents-012516-20160125-story.html&p=DevEx,5035.1",Patents issued to Central Florida inventors,"Central Florida inventors who have recently received utility patents ... Solder flow-impeding plug on a lead frame. Assigned to Intersil Americas LLC, Milpitas, Calif. (US 9,177,896) Robert J. Nelson, Orlando. Power generation and low frequency alternating ...",2016-01-25T13:50:43
Intersil Americas Inc.,"http://www.bing.com/cr?IG=B1914261A842441BB87856E72749B8A6&CID=2703984FF9016B240F409175F8916AFE&rd=1&h=0ncKdbZPbpaNX5I_e5tSViB3DJjFHwE2sayYkzouGQ0&v=1&r=http%3a%2f%2fwww.law360.com%2farticles%2f731859%2fthe-top-in-house-hires-of-november&p=DevEx,5037.1",The Top In-House Hires Of November,"Bank of America ... company Intersil Corp. has appointed Andrew Hughes as general counsel. Most recently, Hughes was general counsel and secretary for Ikanos Communications, a semiconductor and software company that was acquired by Qualcomm Inc. Former ...",2015-12-01T00:33:00
Intersil Americas Inc.,"http://www.bing.com/cr?IG=B1914261A842441BB87856E72749B8A6&CID=2703984FF9016B240F409175F8916AFE&rd=1&h=OWpzpsPIvFPNKPW1xUlNQWy8NxFrf9iTQ9UhAg69SBg&v=1&r=http%3a%2f%2fwww.marketwired.com%2fpress-release%2fIntersil-and-Power-One-Announce-License-Agreement-NASDAQ-ISIL-1328009.htm&p=DevEx,5039.1",Intersil and Power-One Announce License Agreement,"MILPITAS, CA and CAMARILLO, CA--(Marketwire - September 30, 2010) - Intersil Corporation (NASDAQ: ISIL) and Power-One, Inc. (NASDAQ: PWER ... Europe, and the Americas. Please visit www.power-one.com for more information. Intersil, Zilker Labs, Digital ...",2010-09-30T17:01:00
Intersil Americas Inc.,"http://www.bing.com/cr?IG=B1914261A842441BB87856E72749B8A6&CID=2703984FF9016B240F409175F8916AFE&rd=1&h=F6QQyi6G4oL2ogKb2rMvczA6BEBSR_5cmCTYBLJwWSU&v=1&r=http%3a%2f%2fwww.wirelessdevnet.com%2fnews%2f2002%2f150%2fnews8.html&p=DevEx,5041.1",Intersil Develops Advanced Four-Port Solution to Add Voice Capabilities to Broadband Networks,"VoB-4 is a trademark of Intersil Americas Inc. Telogy Software is a trademark of Telogy Networks, a Texas Instruments company. All trademarks mentioned are the property of their respective owners.",2002-05-30
