Company,URL,Title,Description,Date
JDS Uniphase Corp.,"http://www.bing.com/cr?IG=DA627E684BB64A48AC576044D39FA519&CID=354391F9D8AB624117EB98C3D93B6386&rd=1&h=aoAb1b-GxtfM55qrkSZrmE75huW0SpAXkyuvolv0TII&v=1&r=http%3a%2f%2fwww.whatech.com%2fmarket-research%2fmaterials-chemicals%2f169099-communications-test-and-measurement-market-size-application-analysis-regional-outlook-to-2016-2024&p=DevEx,5028.1","Report explores the communications test and measurement market : size, application analysis, regional outlook to 2016 - 2024","Danaher Corporation, Exfo Inc., JDS Uniphase Corporation, Anritsu Corporation, Calnex Solutions and Yokogawa Electric among others. 3) The report provides the market size and forecast for the different segments and geographies for the period of 2010 to ...",2016-06-09T09:43:00
JDS Uniphase Corp.,"http://www.bing.com/cr?IG=DA627E684BB64A48AC576044D39FA519&CID=354391F9D8AB624117EB98C3D93B6386&rd=1&h=92BggjJFXTUGnENpB_r_zNxk3D_XQ1DUWYBT1Y_oHbU&v=1&r=http%3a%2f%2fwww.insidermonkey.com%2fblog%2fjds-uniphase-corp-jdsu-this-stock-has-kept-investors-waiting-but-for-how-long-155106%2f&p=DevEx,5030.1","JDS Uniphase Corp (JDSU): This Stock Has Kept Investors Waiting, But for How Long?","2013 was supposed to be a good year for optical networker JDS Uniphase Corp (NASDAQ:JDSU) and the company had even kicked off the year in style, posting solid results and an upbeat outlook. However, the stock’s performance has since deteriorated and the ...",2013-05-30T12:17:00
JDS Uniphase Corp.,"http://www.bing.com/cr?IG=DA627E684BB64A48AC576044D39FA519&CID=354391F9D8AB624117EB98C3D93B6386&rd=1&h=sY_cmmSM-fO7vkowDXZPidVxfmkXv3UuUOkfSkwxeOE&v=1&r=http%3a%2f%2fwww.forbes.com%2fsites%2fdividendchannel%2f2012%2f08%2f27%2fjds-uniphase-corp-achieves-136-analyst-rank-surpassing-ford-motor-co%2f&p=DevEx,5032.1","JDS Uniphase Corp Achieves #136 Analyst Rank, Surpassing Ford Motor Co.","In a study of analyst recommendations at the major brokerages, for the underlying components of the S&P 500, JDS Uniphase Corp (NASD: JDSU) has taken over the #136 spot from Ford Motor Co. (NYSE: F), according to ETF Channel. Below is a chart of JDS ...",2012-08-27T15:50:15
JDS Uniphase Corp.,"http://www.bing.com/cr?IG=DA627E684BB64A48AC576044D39FA519&CID=354391F9D8AB624117EB98C3D93B6386&rd=1&h=Dxo2gWKii4joE9osFPIMv75P-ALWn5aL2JdAK7BgumM&v=1&r=http%3a%2f%2ffinance.yahoo.com%2fnews%2fJDS-Uniphase-Corp-Fourth-wscheats-2224191334.html&p=DevEx,5034.1",JDS Uniphase Corp Fourth Quarter Earnings Sneak Peek,"S&P 500 component JDS Uniphase Corp will unveil its latest earnings on Wednesday, August 17, 2011. JDS Uniphase Corporation provides communications test and measurement solutions and optical products for cable operators, telecommunications service ...",2011-08-15T18:54:28
JDS Uniphase Corp.,"http://www.bing.com/cr?IG=DA627E684BB64A48AC576044D39FA519&CID=354391F9D8AB624117EB98C3D93B6386&rd=1&h=X87zRtVcXJgDa13LI09UZE3HyFF5a9Ty1RiNAG86QTY&v=1&r=http%3a%2f%2fwww.fool.com%2finvesting%2fgeneral%2f2014%2f09%2f11%2fwhy-jds-uniphase-corps-big-news-sent-shares-soarin.aspx&p=DevEx,5036.1",Why JDS Uniphase Corp's Big News Sent Shares Soaring Today,"So what: JDS Uniphase will separate into two as-yet-unnamed companies comprising its core business segments: One will produce optical components and commercial lasers, and the other will focus on networking services, particularly optical security.",2014-09-11T15:25:24
JDS Uniphase Corp.,"http://www.bing.com/cr?IG=DA627E684BB64A48AC576044D39FA519&CID=354391F9D8AB624117EB98C3D93B6386&rd=1&h=2fAhpiV68PTfhYLrQoncyETBRXKQ_BKXYgNQpYLKjqA&v=1&r=http%3a%2f%2fwww.benzinga.com%2fnews%2f14%2f09%2f4841105%2fjds-uniphase-corp-to-spin-off-optical-unit-shares-up-14&p=DevEx,5038.1","JDS Uniphase Corp To Spin Off Optical Unit, Shares Up 14%","JDS Uniphase Corp (NASDAQ: JDSU) traded sharply higher in the extended session Wednesday on news it will spin off its optical components and subsystem operation as a separate company. JDS said the spin-off to shareholders, expected by the third quarter of ...",2014-09-10T05:08:00
JDS Uniphase Corp.,"http://www.bing.com/cr?IG=DA627E684BB64A48AC576044D39FA519&CID=354391F9D8AB624117EB98C3D93B6386&rd=1&h=pHsIrnY5tolNsmAegIY2UNiKXZ_XMGsgnUdqTvHpJkk&v=1&r=http%3a%2f%2fbasicsmedia.com%2fjds-uniphase-corp-nasdaqjdsu-business-split-to-accelerate-growth-jim-cramer-11029&p=DevEx,5040.1",JDS Uniphase Corp (NASDAQ:JDSU) Business Split to Accelerate Growth: Jim Cramer,"Tomahawk, WI 09/16/2014 (Basicsmedia) – JDS Uniphase Corp (NASDAQ:JDSU) has announced plans to split into two separate businesses. CNBC’s Jim Cramer argues that breakups are some of the most compelling stories in the market, always sure to result in ...",2014-09-16T11:04:38
JDS Uniphase Corp.,"http://www.bing.com/cr?IG=DA627E684BB64A48AC576044D39FA519&CID=354391F9D8AB624117EB98C3D93B6386&rd=1&h=gU8RsJzn9UTwotAFzJcpvzsKiVoKGC9QU5_SSIsfk6o&v=1&r=http%3a%2f%2fwww.thestreet.com%2fstory%2f12870242%2f1%2fjds-uniphase-corp-ca-jdsu-flagged-as-strong-on-high-volume.html&p=DevEx,5042.1",JDS Uniphase Corp (CA (JDSU) Flagged As Strong On High Volume,"Editor's Note: Any reference to TheStreet Ratings and its underlying recommendation does not reflect the opinion of TheStreet, Inc. or any of its contributors including Jim Cramer or Stephanie Link. Trade-Ideas LLC identified JDS Uniphase Corp (CA ( JDSU ...",2014-09-08T15:11:22
JDS Uniphase Corp.,"http://www.bing.com/cr?IG=DA627E684BB64A48AC576044D39FA519&CID=354391F9D8AB624117EB98C3D93B6386&rd=1&h=qCPs43eGuAauIaQnm3auTqIhajaHXoS2HjS16tMUKqs&v=1&r=http%3a%2f%2fwww.nytimes.com%2f2000%2f07%2f27%2fbusiness%2ftechnology-jds-uniphase-fourth-quarter-profits-exceed-estimates.html&p=DevEx,5044.1",TECHNOLOGY; JDS Uniphase Fourth-Quarter Profits Exceed Estimates,"SAN FRANCISCO, July 26— The JDS Uniphase Corporation, a fast-growing maker of components for fiber optic networks, reported fourth-quarter earnings today that exceeded analysts' estimates when excluding charges for the company's wave of acquisitions.",2000-07-27
JDS Uniphase Corp.,"http://www.bing.com/cr?IG=DA627E684BB64A48AC576044D39FA519&CID=354391F9D8AB624117EB98C3D93B6386&rd=1&h=u4mua5oscyipGC009vGSdqnDzF278oFELrXwLc6JGT0&v=1&r=http%3a%2f%2fwww.nasdaq.com%2farticle%2fjds-uniphase-corporation-jdsu-new-analyst-report-from-zacks-equity-research-zacks-equity-research-report-cm311176&p=DevEx,5046.1",JDS Uniphase Corporation (JDSU): New Analyst Report from Zacks Equity Research - Zacks Equity Research Report,"We, therefore, maintain our Neutral recommendation on JDS Uniphase. Headquartered in Milpitas, CA, JDS Uniphase Corp. (JDSU) is the leading provider of communications test and measurement solutions, and optical products to telecom carriers, cable operators ...",2013-12-13T07:00:00
