Company,URL,Title,Description,Date
Johnson Controls Technology Co.,"http://www.bing.com/cr?IG=8DB49495C395496E8E83C3633B90F9C2&CID=16E3FFFFB13865281175F6C5B0A864F7&rd=1&h=M4ZNZi079323yQc3au3M-trW9O5i2EUZHsqU4ZOpO24&v=1&r=http%3a%2f%2fwww.forbes.com%2fsites%2fgreatspeculations%2f2016%2f06%2f17%2fwhat-are-the-prospects-for-johnson-controls-power-solutions-business%2f&p=DevEx,5021.1",What Are The Prospects For Johnson Controls' Power Solutions Business?,Johnson Controls‘ Power Solutions business is the ... the prospects for this segment look bright. The company expects the batteries with the start-stop technology to increase from 24% today to over 60% in 2020. A number of factors work in the favor ...,2016-06-17T13:08:00
Johnson Controls Technology Co.,"http://www.bing.com/cr?IG=8DB49495C395496E8E83C3633B90F9C2&CID=16E3FFFFB13865281175F6C5B0A864F7&rd=1&h=XtHtBk3HkINvO0d6-Q1LUGlI6F6lDgn4Giczc2j0IDY&v=1&r=http%3a%2f%2fwww.dailypolitical.com%2f2016%2f06%2f19%2fjohnson-controls-inc-to-post-fy2017-earnings-of-4-10-per-share-gabelli-forecasts-jci%2f&p=DevEx,5023.1","Johnson Controls Inc to Post FY2017 Earnings of $4.10 Per Share, Gabelli Forecasts (JCI)","The ex-dividend date of this dividend is Wednesday, June 8th. Johnson Controls, Inc is a technology company. The Company provides products, services and solutions to optimize energy and operational efficiencies of buildings; lead-acid automotive batteries ...",2016-06-19T07:54:00
Johnson Controls Technology Co.,"http://www.bing.com/cr?IG=8DB49495C395496E8E83C3633B90F9C2&CID=16E3FFFFB13865281175F6C5B0A864F7&rd=1&h=7JHJjwPaTwUVQpdKf1pRR8FipDDHCiZj0YgcQ0-v3hk&v=1&r=http%3a%2f%2fwww.biztimes.com%2f2016%2f06%2f09%2fjohnson-controls-plans-fourth-battery-plant-in-china%2f&p=DevEx,5060.1",Johnson Controls plans fourth battery plant in China,"The company announced last year it would build a third ... consumer demands and both short- and long-term energy storage technology needs,” said Joe Walicki, Johnson Controls Power Solutions president. “This joint venture is a strategic move to ...",2016-06-09T17:34:00
Johnson Controls Technology Co.,"http://www.bing.com/cr?IG=8DB49495C395496E8E83C3633B90F9C2&CID=16E3FFFFB13865281175F6C5B0A864F7&rd=1&h=DkJJiFEPPdWwpSQY9jW2RfUz89oKwW7rHSC-BzbGTbM&v=1&r=http%3a%2f%2ffinance.yahoo.com%2fnews%2fjohnson-controls-forms-jv-build-123912388.html&p=DevEx,5027.1",Johnson Controls Forms JV to Build 4th Battery Plant in China,"Vehicles with start-stop technology are expected to be 50% of the total ... Binzhou Bohai is an auto parts affiliate of Beijing Automotive Industry Group Co., Ltd. (BAIC Group). Johnson Controls is a supplier of automotive interiors, batteries and other ...",2016-06-15T12:39:00
Johnson Controls Technology Co.,"http://www.bing.com/cr?IG=8DB49495C395496E8E83C3633B90F9C2&CID=16E3FFFFB13865281175F6C5B0A864F7&rd=1&h=wUg0kb7SluTnO4KLgvJ8ELLItpL53Rou2CpFQJoLC0M&v=1&r=http%3a%2f%2fwww.gurufocus.com%2fnews%2f421659%2fjohnson-controls-is-undervalued&p=DevEx,5029.1",Johnson Controls Is Undervalued,"Johnson Controls is a global multi-industry company that provides heating ... to create the leader in building products and technology, integrated solutions and energy storage. Under the terms of the agreement, which has been unanimously approved by ...",2016-06-16T18:58:00
Johnson Controls Technology Co.,"http://www.bing.com/cr?IG=8DB49495C395496E8E83C3633B90F9C2&CID=16E3FFFFB13865281175F6C5B0A864F7&rd=1&h=hTinD9BlWeNg0-RIJQ9sAG0TbPK-kTEhaV6DGhq7rac&v=1&r=http%3a%2f%2fseekingalpha.com%2farticle%2f3982808-johnson-controls-undervalued-merger-and-spin-catalysts&p=DevEx,5031.1",Johnson Controls Is Undervalued: Merger & Spin-Off Are Catalysts,"Johnson Controls is a global multi-industry company that provides heating ... to create the leader in building products and technology, integrated solutions and energy storage. Under the terms of the agreement, which has been unanimously approved by ...",2016-06-17T23:22:00
Johnson Controls Technology Co.,"http://www.bing.com/cr?IG=8DB49495C395496E8E83C3633B90F9C2&CID=16E3FFFFB13865281175F6C5B0A864F7&rd=1&h=g0Z6zKFqc2r1ZBNudE2pEZsRILiYNg49Jw2hrtdFzjc&v=1&r=http%3a%2f%2fwww.bizjournals.com%2fprnewswire%2fpress_releases%2f2016%2f06%2f09%2fCG20209&p=DevEx,5033.1",Johnson Controls to build 4th automotive battery plant in China,"""With the combination of Johnson Controls leading technologies ... chairman of Binzhou Bohai Piston Co., Ltd. ""Our technology and battery capabilities, combined with the Bohai Piston growth platform and favorable Binzhou location, is a real winning ...",2016-06-09T12:21:00
Johnson Controls Technology Co.,"http://www.bing.com/cr?IG=8DB49495C395496E8E83C3633B90F9C2&CID=16E3FFFFB13865281175F6C5B0A864F7&rd=1&h=DopPzl8CXKwINHNPpZ4U2BsQyeTeZd0TkhPLP9KsQEU&v=1&r=http%3a%2f%2fwww.tickerreport.com%2fbanking-finance%2f1874455%2fjohnson-controls-inc-jci-stock-rating-reaffirmed-by-robert-w-baird%2f&p=DevEx,5035.1",Johnson Controls Inc (JCI) Stock Rating Reaffirmed by Robert W. Baird,"The ex-dividend date is Wednesday, June 8th. Johnson Controls, Inc is a technology company. The Company provides products, services and solutions to optimize energy and operational efficiencies of buildings; lead-acid automotive batteries and advanced ...",2016-06-17T11:03:00
Johnson Controls Technology Co.,"http://www.bing.com/cr?IG=8DB49495C395496E8E83C3633B90F9C2&CID=16E3FFFFB13865281175F6C5B0A864F7&rd=1&h=IhLjateKAJLwIKh4XacIQjGhJ8xdV1S8SLfrr8uHqFY&v=1&r=http%3a%2f%2fwww.freep.com%2fstory%2fmoney%2fcars%2f2016%2f06%2f13%2fjohnson-controls-investing-big-china-battery-market%2f85822114%2f&p=DevEx,5037.1",Johnson Controls investing big in China battery market,"Most of that investment will occur in the U.S. The company declined to ... when it comes to innovative technology, quality products and strong customer partnerships,” said Joe Walicki, president of Johnson Controls Power Solutions.",2016-06-15T17:44:00
Johnson Controls Technology Co.,"http://www.bing.com/cr?IG=8DB49495C395496E8E83C3633B90F9C2&CID=16E3FFFFB13865281175F6C5B0A864F7&rd=1&h=5ifjfFNteJXFMbWmY3cPan65HoCT5EKiN78rKVsQJ8A&v=1&r=http%3a%2f%2fwww.webbreakingnews.com%2f2016%2f06%2f15%2fjohnson-controls-inc-jci-given-buy-rating-at-credit-suisse%2f&p=DevEx,5039.1",Johnson Controls Inc (JCI) Given “Buy” Rating at Credit Suisse,"JPMorgan Chase & Co. now owns 3,238,173 shares of the company’s stock worth $126,191,000 after buying an additional 2,354,616 shares in the last quarter. Johnson Controls, Inc is a technology company. The Company provides products, services and solutions ...",2016-06-15T09:00:00
Johnson Controls Technology Co.,"http://www.bing.com/cr?IG=8DB49495C395496E8E83C3633B90F9C2&CID=16E3FFFFB13865281175F6C5B0A864F7&rd=1&h=w__7jGxwO4tULTvPIFO3KzsFhLxeihmPkC1mhnK0vJM&v=1&r=http%3a%2f%2fwww.tmcnet.com%2fusubmit%2f-johnson-controls-announces-power-solutions-financial-analyst-event-%2f2016%2f06%2f09%2f8376570.htm&p=DevEx,5041.1",Johnson Controls announces Power Solutions Financial Analyst Event Webcast,"About Johnson Controls Johnson Controls is a global diversified technology and industrial leader serving customers ... In 2016, Corporate Responsibility Magazine recognized Johnson Controls as the #17 company in its annual ""100 Best Corporate Citizens ...",2016-06-09T19:34:00
Johnson Controls Technology Co.,"http://www.bing.com/cr?IG=8DB49495C395496E8E83C3633B90F9C2&CID=16E3FFFFB13865281175F6C5B0A864F7&rd=1&h=XP6OmXcsxP_3q_-Awu0qPlrXswbJMzYjhkz_PmMEiH4&v=1&r=http%3a%2f%2fwww.rttnews.com%2f2658925%2fjohnson-controls-to-invest-245-mln-to-boost-agm-production-in-north-america.aspx&p=DevEx,5043.1",Johnson Controls To Invest $245 Mln To Boost AGM Production In North America,"Johnson Controls Inc. (JCI), the world's largest manufacturer ... 2016 and 2020 to double AGM production capacity in North America. The diversified technology company noted that its AGM batteries are engineered for ever-increasing vehicle demands ...",2016-06-13T11:47:00
Johnson Controls Technology Co.,"http://www.bing.com/cr?IG=8DB49495C395496E8E83C3633B90F9C2&CID=16E3FFFFB13865281175F6C5B0A864F7&rd=1&h=hilINgqcmfRSNLQvEDvzNPJ5iZfN7K_MqOaEPwH1RwE&v=1&r=http%3a%2f%2fwww.cnbc.com%2f2016%2f06%2f13%2fauto-parts-maker-bets-on-new-battery-technology.html&p=DevEx,5045.1",Auto parts maker bets on new battery technology,"This new ""start-stop"" battery technology is 10 percent of the U.S. market ... Before becoming chairman and CEO of Johnson Controls, Molinaroli was president of the company's power solutions business from 2007 to 2013.",2016-06-13T03:17:00
Johnson Controls Technology Co.,"http://www.bing.com/cr?IG=8DB49495C395496E8E83C3633B90F9C2&CID=16E3FFFFB13865281175F6C5B0A864F7&rd=1&h=ru1512Gc6GSb-ivcv8sfnl5qii41HRueh4oeeSaTxUE&v=1&r=http%3a%2f%2fwww.gmtoday.com%2fnews%2flocal_stories%2f2016%2f06092016-johnson-controls-to-build-%24200-million-plant-in-china.asp&p=DevEx,5047.1",Johnson Controls to build $200 million plant in China,"According to the announcement, Johnson Controls is forming a joint venture with Binzhou Bohai Piston Co., Ltd., an auto parts affiliate ... consumer demands and both short and long-term energy storage technology needs,” said Joe Walicki, president ...",2016-06-09T21:37:00
