Company,URL,Title,Description,Date
K.K. Kobe Seiko Sho (Kobe Steel Ltd.),"http://www.bing.com/cr?IG=0A6A14DEA38240E5B0631A36A653F960&CID=053FC915E0B266413B71C02FE12267FD&rd=1&h=YnpsexLwifktHXAf2n1SlFN7f58CBGmkhN8hRzubb8k&v=1&r=http%3a%2f%2fwww.4-traders.com%2fKOBE-STEEL-LTD-6492470%2fnews%2fKobe-Steel-Teaching-Apparatus-Used-for-Operation-of-Industrial-Robot-in-Patent-Application-Appro-22501285%2f&p=DevEx,5021.1","Kobe Steel : ""Teaching Apparatus Used for Operation of Industrial Robot"" in Patent Application Approval Process (USPTO 20160144513)","This patent application is assigned to Kabushiki Kaisha Kobe Seiko Sho (Kobe Steel, Ltd.). The following quote was obtained by the news editors from the background information supplied by the inventors: ""The present invention relates to a teaching ...",2015-10-05
K.K. Kobe Seiko Sho (Kobe Steel Ltd.),"http://www.bing.com/cr?IG=0A6A14DEA38240E5B0631A36A653F960&CID=053FC915E0B266413B71C02FE12267FD&rd=1&h=zJHpW0DIqBOPcMRpwBRoCIB7rMHP4KTGYQwX3h5XQPA&v=1&r=http%3a%2f%2fwww.toyokeizai.net%2fcsr%2flink%2f2015CSR_CompanyLink.html&p=DevEx,5023.1",Japanese Company CSR URL Lists,"LTD. Glass & Ceramics 5334 NGK SPARK PLUG CO.,LTD. Steel Products 5401 NIPPON STEEL & SUMITOMO METAL CORPORATION Steel Products 5406 Kobe Steel, Ltd. Steel Products 5411 JFE Holdings, Inc. Steel Products 5440 KYOEI STEEL LTD. Steel Products 5456 ASAHI ...",2014-12-15
K.K. Kobe Seiko Sho (Kobe Steel Ltd.),"https://www.bing.com/cr?IG=0A6A14DEA38240E5B0631A36A653F960&CID=053FC915E0B266413B71C02FE12267FD&rd=1&h=oT6BSNGV0vcbJaCOW40oLQ9VRfcdNtIPocTYAsgNy7w&v=1&r=https%3a%2f%2fwww.moodys.com%2fresearch%2fMOODYS-PLACES-UNDER-REVIEW-FOR-POSSIBLE-DOWNGRADE-11-DKB-SUPPORTED--PR_22366&p=DevEx,5025.1",MOODY'S PLACES UNDER REVIEW FOR POSSIBLE DOWNGRADE 11 DKB SUPPORTED CP PROGRAMS; PRIME-1 RATING OF ONE LETTER OF CREDIT BACKED CP PROGRAM CONFIRMED,"CREDIT RATINGS DO NOT ADDRESS ANY OTHER RISK, INCLUDING BUT NOT LIMITED TO: LIQUIDITY RISK ... Additional terms for Japan only: Moody's Japan K.K. (“MJKK”) is a wholly-owned credit rating agency subsidiary of Moody's Group Japan G.K., which is wholly ...",1998-09-18
K.K. Kobe Seiko Sho (Kobe Steel Ltd.),"http://www.bing.com/cr?IG=0A6A14DEA38240E5B0631A36A653F960&CID=053FC915E0B266413B71C02FE12267FD&rd=1&h=qAsFMM3BXGWL9F-_chw0wb5Ex5GFBgujwWmsHGSznjQ&v=1&r=http%3a%2f%2fwww.vcreporter.com%2fcms%2fstory%2fdetail%2feclectic_international_eats_at_sugar_beets%2f8492%2f&p=DevEx,5027.1",Eclectic international eats at Sugar Beets,"My first interaction with Martin Ledesma was by way of the food at his Camarillo restaurant, Chili Peppers. Last year, I wrote about their decadent Friday night dinners, when the restaurant showcases its fancy side in the form of gourmet dishes alongside ...",2010-12-23
K.K. Kobe Seiko Sho (Kobe Steel Ltd.),"http://www.bing.com/cr?IG=0A6A14DEA38240E5B0631A36A653F960&CID=053FC915E0B266413B71C02FE12267FD&rd=1&h=Ceav23J42aOdqPTVrHlgVc8zNqb0IL1wLVKOXGTy3io&v=1&r=http%3a%2f%2fwww.gamespot.com%2farticles%2ftokyo-game-show-2005-releases-exhibitor-and-game-lists%2f1100-6130704%2f&p=DevEx,5029.1",Tokyo Game Show 2005 releases exhibitor and game lists,"TOKYO--With the PlayStation 3 and Xbox 360 expected to be on playable public display for the first time, this year's Tokyo Game Show is possibly the most anticipated since 1999, back when the PlayStation 2 made its public debut. According to the Computer ...",2005-08-10
K.K. Kobe Seiko Sho (Kobe Steel Ltd.),"http://www.bing.com/cr?IG=0A6A14DEA38240E5B0631A36A653F960&CID=053FC915E0B266413B71C02FE12267FD&rd=1&h=4Pjdp04TnEPmUSWPVI-3QOV0Ql-dKHqAi06Ga5FKYrg&v=1&r=http%3a%2f%2fwww.nejm.org%2fdoi%2ffull%2f10.1056%2fNEJMoa0903810&p=DevEx,5031.1",Emergence of a Novel Swine-Origin Influenza A (H1N1) Virus in Humans,"As of May 5, 2009, a total of 642 cases of human infection with a novel swine-origin influenza A (H1N1) virus have been identified in the ... of S-OIV infection have been characterized by self-limited, uncomplicated febrile respiratory illness and symptoms ...",2009-06-18
K.K. Kobe Seiko Sho (Kobe Steel Ltd.),"http://www.bing.com/cr?IG=0A6A14DEA38240E5B0631A36A653F960&CID=053FC915E0B266413B71C02FE12267FD&rd=1&h=as3CbftTkSNEgbS0w9A4i5zMUsJrKgjb7Fr0hUrk5UU&v=1&r=http%3a%2f%2fwww.google.co.in%2fpatents%2fUS5186741&p=DevEx,5033.1",Direct reduction process in a rotary hearth furnace,"The invented pellet reclamation process includes forming green pellets of a mixture of steel furnace dust, a carbonaceous material such as coal, charcoal, lignite, petroleum coke, or coke, and an organic binder. The green pellets are fed over a layer of ...",1993-02-16
K.K. Kobe Seiko Sho (Kobe Steel Ltd.),"http://www.bing.com/cr?IG=0A6A14DEA38240E5B0631A36A653F960&CID=053FC915E0B266413B71C02FE12267FD&rd=1&h=z37-rcDOOiFFjpl47TVJ9f8g6_6FmyfJMtBPHLPm7uc&v=1&r=http%3a%2f%2fwww.google.it%2fpatents%2fDE3237095A1%3fcl%3den&p=DevEx,5035.1",Valve and uses of the valve,"The valve (1) is a 3-way/3-position valve having a control piston (4), the first end face (7) of which is connected permanently to the outlet (6). At least one pressure piston (9, 10, 11) bears against the second end face (8) of the control piston (4) and ...",1984-04-12
K.K. Kobe Seiko Sho (Kobe Steel Ltd.),"https://www.bing.com/cr?IG=0A6A14DEA38240E5B0631A36A653F960&CID=053FC915E0B266413B71C02FE12267FD&rd=1&h=68bB3JSVTrWUwX7rTqPzQ_N2wBg-2sZm5LPhsuW98mM&v=1&r=https%3a%2f%2fwww.pinterest.com%2fpin%2f340092209331737945%2f&p=DevEx,5037.1","Explore 3/4 Beds, Frame Specification, and more!",The Dunlop Venom 115 Squash Racquet is a super light frame specification that offers this frame ultimate ... Folding-Recumbent-X-Bike/6175224/product.html?CID=214117 $157.06 Steel-and-plastic Sunny Health Fitness Folding Recumbent X Bike - Overstock ...,2016-05-21T04:27:02
K.K. Kobe Seiko Sho (Kobe Steel Ltd.),"https://www.bing.com/cr?IG=0A6A14DEA38240E5B0631A36A653F960&CID=053FC915E0B266413B71C02FE12267FD&rd=1&h=FtZh8mvI4LeiF2ApN5aNkDtzP0_cKO2HFQWgbuJTres&v=1&r=https%3a%2f%2fwww.google.fr%2fpatents%2fUS5341769&p=DevEx,5039.1",Vaporizer for liquefied natural gas,"A vaporizer for liquefied natural gas which prevents the heat exchanger tubes from being extremely cooled, without reducing the vaporizing efficiency. The vaporizer is characterized in that each of the heat exchanger tubes connecting the lower header and ...",1974-10-16
