Company,URL,Title,Description,Date
Konica Minolta Opto Inc.,"http://www.bing.com/cr?IG=BDC0E1D0CF3B483685369D97A9F57096&CID=395173BFECE26ABE04987A85ED726B33&rd=1&h=TGXDTyobrFntr10QycDYDH9ZziIwxnVUXI5tPvTB83o&v=1&r=http%3a%2f%2fwww.reuters.com%2farticle%2fidUS139152%2b30-Mar-2011%2bBW20110330&p=DevEx,5021.1","Konica Minolta Opto, Inc. Extends Product Development Licensing Agreement with $750,000 Payment to Guided Therapeutics","Guided Therapeutics, Inc. (OTCBB & OTCQB: GTHP), developer of a rapid and painless biophotonic testing platform for the early detection of disease, today announced that Konica Minolta Opto, Inc. of Tokyo has extended its licensing agreement to co-develop ...",2011-03-30T09:05:00
Konica Minolta Opto Inc.,"http://www.bing.com/cr?IG=BDC0E1D0CF3B483685369D97A9F57096&CID=395173BFECE26ABE04987A85ED726B33&rd=1&h=iocuRLfzCD5sJ-ZKvWYX3l-pBtc9ORw3WgZvO5fP2Bc&v=1&r=http%3a%2f%2fwww.tmcnet.com%2fusubmit%2f-guided-therapeutics-inc-konica-minolta-opto-inc-jointly-%2f2009%2f05%2f19%2f4186849.htm&p=DevEx,5023.1","Guided Therapeutics, Inc. and Konica Minolta Opto, Inc. to Jointly Develop Cancer Detection Products","NORCROSS, Ga. --(Business Wire)-- Guided Therapeutics, Inc. (GT) (Pink Sheets: GTHP) today announced that it has entered into an agreement with Konica Minolta Opto, Inc. (KMOT) of Tokyo to co-develop non-invasive cancer detection products. The new ...",2009-05-19
Konica Minolta Opto Inc.,"http://www.bing.com/cr?IG=BDC0E1D0CF3B483685369D97A9F57096&CID=395173BFECE26ABE04987A85ED726B33&rd=1&h=TqUrfb_Kv-IyEWsw_urm7DPAUL01tO1I67ylX_0NYN4&v=1&r=http%3a%2f%2fwww.redorbit.com%2fnews%2fhealth%2f1595328%2fguided_therapeutics_inc_and_konica_minolta_extend_agreement_to_expand%2f&p=DevEx,5025.1","Guided Therapeutics, Inc. And Konica Minolta Extend Agreement to Expand Cancer Detection Technology","Guided Therapeutics, Inc. (GT) (Pink Sheets: GTHP) and Konica Minolta Opto, Inc. (KMOT) of Tokyo, today announced that the two companies have extended an option to license and no shop agreement to co-develop certain of GT's non-invasive technologies.",2008-10-30
Konica Minolta Opto Inc.,"http://www.bing.com/cr?IG=BDC0E1D0CF3B483685369D97A9F57096&CID=395173BFECE26ABE04987A85ED726B33&rd=1&h=BQJGCffYp--Ro4kZBfkKW9JLNTnFRp-jVelBSXTEojQ&v=1&r=http%3a%2f%2fwww.prnewswire.com%2fnews-releases%2fglobal-cmos-camera-lens-market-2012-2016-210264471.html&p=DevEx,5027.1",Global CMOS Camera Lens Market 2012-2016,"TechNavio's report, the Global CMOS Camera Lens market 2012-2016, has been prepared based ... this market space include Asia Optical Co. Inc., Genius Electronic Optical Co. Ltd., Kantatsu Co. Ltd., Konica Minolta Opto Inc., and Largan Precision Co. Ltd ...",2013-06-05T13:04:00
Konica Minolta Opto Inc.,"http://www.bing.com/cr?IG=BDC0E1D0CF3B483685369D97A9F57096&CID=395173BFECE26ABE04987A85ED726B33&rd=1&h=jJrr0HXzo9WUhaomtcaZMWC5KM6ThfgUAWZqhvoc9As&v=1&r=http%3a%2f%2fwww.digitaltrends.com%2fhome-theater%2fblu-ray-disc-association-launches%2f&p=DevEx,5029.1",Blu-ray Disc Association Launches,"Infomedia Inc., InterVideo Inc., Konica Minolta Opto Inc., Leader Electronics Corp, LINTEC Corporation, Memorex Products Inc., Mitsui Chemicals Inc., Mitsumi Electric Co., Ltd., NEXAPM Systems Technology Inc., Opt Corporation, Pixela Corporation ...",2004-10-05
Konica Minolta Opto Inc.,"http://www.bing.com/cr?IG=BDC0E1D0CF3B483685369D97A9F57096&CID=395173BFECE26ABE04987A85ED726B33&rd=1&h=alrv03azR-nELd0k4ls2Qt3exPoiOlexpKHfMY1CgWI&v=1&r=http%3a%2f%2fwww.news-medical.net%2fnews%2f20110308%2fIRB-approves-Guided-Therapeutics-light-based-Barretts-Esophagus-detection-technology-for-human-trial.aspx&p=DevEx,5031.1",IRB approves Guided Therapeutics light-based Barrett's Esophagus detection technology for human trial,"The new product for the detection of Barrett's Esophagus, a precursor for esophageal cancer, is being co-developed with Konica Minolta Opto, Inc. of Japan and is based on the company's LightTouch™ non-invasive cervical cancer detection technology ...",2011-03-08T02:12:00
Konica Minolta Opto Inc.,"http://www.bing.com/cr?IG=BDC0E1D0CF3B483685369D97A9F57096&CID=395173BFECE26ABE04987A85ED726B33&rd=1&h=hgOvbgNtJbcFDvg73PyZxSmhUKwz4jZ6EgWZwHeoeuo&v=1&r=http%3a%2f%2fwww.coolest-gadgets.com%2f20090121%2fjvc-shrinks-hard-drive-based-high-definition-camcorders%2f&p=DevEx,5033.1",JVC shrinks hard drive-based High Definition camcorders,"Firstly, the zoom lens were developed in collaboration with Konica Minolta Opto Inc., where the lens’ layout was revised by reducing its diameter so that high resolution images can be supported. Just for comparison’s sake, the lens volume has been ...",2009-01-21
Konica Minolta Opto Inc.,"http://www.bing.com/cr?IG=BDC0E1D0CF3B483685369D97A9F57096&CID=395173BFECE26ABE04987A85ED726B33&rd=1&h=MWGi9qRL9NWBtYVz2j5hqlvxmV7Ru_OobeGHaXa4mWM&v=1&r=http%3a%2f%2fwww.nanowerk.com%2fnews%2fnewsid%3d6741.php&p=DevEx,5035.1",Konica Minolta and Universal Display Corporation Announce OLED Technology License Agreement for Lighting Applications,"(Nanowerk News) Konica Minolta Holdings, Inc. (Konica Minolta), a company that leads the way ... electronic communications, and other opto-electronic markets. Universal Display is working with a network of world-class companies and other organizations ...",2008-08-13
Konica Minolta Opto Inc.,"http://www.bing.com/cr?IG=BDC0E1D0CF3B483685369D97A9F57096&CID=395173BFECE26ABE04987A85ED726B33&rd=1&h=CtRpqETkfgaZLCthp7yY7yB7jV9iRQ0Gn61JLYdAwoM&v=1&r=http%3a%2f%2fwww.photographyblog.com%2fnews%2fpass_specification_v10_complete%2f&p=DevEx,5037.1",PASS Specification v1.0 Complete,"Konica Minolta Opto, Inc. is the world’s pioneer in successfully commercializing aspherical plastic lenses for optical pickup purposes, which are used in all types of optical disk drives and players, and it continues to enjoy leading share in this market.",2005-02-21
Konica Minolta Opto Inc.,"http://www.bing.com/cr?IG=BDC0E1D0CF3B483685369D97A9F57096&CID=395173BFECE26ABE04987A85ED726B33&rd=1&h=kbBI852zcLKmxyz60AvqBuH3vCytwqHGDVRI9EssMTw&v=1&r=http%3a%2f%2fwww.edn.com%2felectronics-products%2felectronic-product-releases%2fopto-electronics-products%2f4428787%2fKonica-Minolta-Sensing-Releases-All-New-CL-200A-Product-Video&p=DevEx,5039.1",Konica Minolta Sensing Releases All New CL-200A Product Video,"About Konica Minolta Sensing Americas, Inc. Konica Minolta Sensing Americas, Inc. (KMSA), a wholly owned subsidiary of Konica Minolta, Inc., is recognized as the international leader of industrial color and light measurement. The company is responsible for ...",2014-02-24
