Company,URL,Title,Description,Date
Merck & Co.,"http://www.bing.com/cr?IG=361E38E690694A69A6BB8CD674132D12&CID=05F9F92A8CE2612235FCF0108D72603E&rd=1&h=kD7SnnYNw7_l2iIWS6VFSUBSVGBZJdB14guRH02HVbM&v=1&r=http%3a%2f%2fwww.bloomberg.com%2fgadfly%2farticles%2f2016-06-17%2fmerck-keytruda-lung-cancer-edge-on-opdivo-won-t-last&p=DevEx,5028.1",Merck's Edge on Bristol-Myers Won't Last,Fortune favors the (statistically) bold. Merck on Thursday reported its cancer drug Keytruda had succeeded in a clinical trial for treating newly diagnosed non-small lung cell cancer (NSLC) -- a market with more than a million new patients per year and ...,2016-06-17T16:17:00
Merck & Co.,"http://www.bing.com/cr?IG=361E38E690694A69A6BB8CD674132D12&CID=05F9F92A8CE2612235FCF0108D72603E&rd=1&h=bSX0LKEdEYqiPzJtEbxEC7ZUCdLvn6FLj7Ntwzms0k4&v=1&r=http%3a%2f%2fwww.dailypolitical.com%2f2016%2f06%2f19%2fmerck-kgaa-mrk-given-a-102-00-price-target-at-bankhaus-lampe%2f&p=DevEx,5030.1",Merck KGaA (MRK) Given a €102.00 Price Target at Bankhaus Lampe,Bankhaus Lampe set a €102.00 ($114.61) target price on Merck KGaA (FRA:MRK) in a research report released on Friday morning. The firm currently has a a buy rating on the stock. MRK has been the subject of a number of other research reports. Societe ...,2016-06-20T05:58:00
Merck & Co.,"http://www.bing.com/cr?IG=361E38E690694A69A6BB8CD674132D12&CID=05F9F92A8CE2612235FCF0108D72603E&rd=1&h=VLe1JDGwxGxFK7RT8Ry3_9lP0M0L4cfZp2RVN5LKH5I&v=1&r=http%3a%2f%2fwww.fool.com%2finvesting%2f2016%2f06%2f16%2fmerck-co-inc-wins-first-round-of-immunotherapy-lun.aspx&p=DevEx,5032.1","Merck & Co., Inc. Wins This Round of the Immunotherapy Lung-Cancer Battle",Merck (NYSE:MRK) looks like it will win the race to have the first immunotherapy drug to gain Food and Drug Administration approval to treat newly diagnosed non-small cell lung cancer patients; but don't count rival Bristol-Myers Squibb (NYSE:BMY) out just ...,2016-06-17T01:35:00
Merck & Co.,"http://www.bing.com/cr?IG=361E38E690694A69A6BB8CD674132D12&CID=05F9F92A8CE2612235FCF0108D72603E&rd=1&h=zMPRmPXU2uXFUNL9uiZDurcGMNsGb73Sx90ZyFxpCI4&v=1&r=http%3a%2f%2fkoreaittimes.com%2fstory%2f60482%2fmerck-family-foundation-established&p=DevEx,5034.1",Merck Family Foundation Established,"June 17, 2016 – E. Merck KG announced the establishment of a new company: the Merck Family Foundation. Through this firm, the Merck family of owners will not only combine many of its individual philanthropic activities under one roof, but also ...",2016-06-20T05:48:00
Merck & Co.,"http://www.bing.com/cr?IG=361E38E690694A69A6BB8CD674132D12&CID=05F9F92A8CE2612235FCF0108D72603E&rd=1&h=XJxv4v-mSCcnNdn1zGJNv4Wst0w-FLu8ghmHl_bR-G8&v=1&r=http%3a%2f%2fwww.businessinsider.com%2fprice-of-profits-merck-allergan-saunders-2016-6&p=DevEx,5036.1","A legendary CEO did something unimaginable by today's standards, and it tells you everything about how America has changed","But it wasn't always like that. 'Medicine is for the people. It is not for profits.' ""George Merck summed it up — one of the original CEOs of Merck back in the 50s — that the mission of Merck and other pharmaceutical companies at the time ...",2016-06-16T13:09:00
Merck & Co.,"http://www.bing.com/cr?IG=361E38E690694A69A6BB8CD674132D12&CID=05F9F92A8CE2612235FCF0108D72603E&rd=1&h=u0AI9SW9pKow8L6CkcosEy8IKYPecpXuV6vRDlBn8QM&v=1&r=http%3a%2f%2fwww.reuters.com%2farticle%2fus-merck-keytruda-lung-idUSKCN0Z21OQ&p=DevEx,5038.1",Merck's Keytruda prolongs life in big lung-cancer study,"Advanced lung cancer patients who took Merck & Co's Keytruda immuno-oncology medicine in a large trial and were previously untreated went longer without their disease worsening and showed a survival advantage over those given standard chemotherapy, the ...",2016-06-16T13:54:00
Merck & Co.,"http://www.bing.com/cr?IG=361E38E690694A69A6BB8CD674132D12&CID=05F9F92A8CE2612235FCF0108D72603E&rd=1&h=6CcgSh7JZmopAwDyec_xcDWgweCfpTI_ylEo0zlHDOY&v=1&r=http%3a%2f%2fwww.philly.com%2fphilly%2fbusiness%2fpharma%2f20160617_Innovative_Merck_lung_cancer_therapy_bests_chemo_in_trial.html&p=DevEx,5040.1",Innovative Merck lung cancer therapy bests chemo in trial,"Shares of Merck rose Thursday after the drugmaker said its Keytruda immuno-oncology medicine succeeded in a study of patients with advanced lung cancer and showed a survival advantage over patients given standard chemotherapy. Based on the results, an ...",2016-06-17T18:01:00
Merck & Co.,"http://www.bing.com/cr?IG=361E38E690694A69A6BB8CD674132D12&CID=05F9F92A8CE2612235FCF0108D72603E&rd=1&h=qit4zciLKShr_uSbbbX-wF9SIUMfdTG6teLchllmwG4&v=1&r=http%3a%2f%2fwww.montgomerynews.com%2farticles%2f2016%2f06%2f20%2fsouderton_independent%2fnews%2fdoc57600698bfe0e441856795.txt&p=DevEx,5042.1","Ex-Merck employee, Lower Salford man convicted of stealing company equipment","NORRISTOWN >> A Lower Salford man has been convicted of charges he stole a programmable logic controller from a Merck site in Upper Gwynedd while he worked for the company as a utility technician. Peter Luba, 60, of the 500 block of Championship Drive, was ...",2016-06-20T05:22:00
Merck & Co.,"http://www.bing.com/cr?IG=361E38E690694A69A6BB8CD674132D12&CID=05F9F92A8CE2612235FCF0108D72603E&rd=1&h=itVnMua69o-vLWB-zOhslsoS3-D-PPGlU1g8IArtqCI&v=1&r=http%3a%2f%2fseekingalpha.com%2farticle%2f3982681-merck-deleveraging-faster-expected-excellent-first-quarter&p=DevEx,5044.1",Merck Is Deleveraging Faster Than I Expected After An Excellent First Quarter,"Merck performed really well in the first quarter, as it saw its revenue increase by approximately 20%. A large part of this increase was caused by the consolidation of Sigma-Aldrich's financial results, but the organic growth rate was also almost 5%.",2016-06-17T14:54:00
Merck & Co.,"http://www.bing.com/cr?IG=361E38E690694A69A6BB8CD674132D12&CID=05F9F92A8CE2612235FCF0108D72603E&rd=1&h=J33UkgiJGZWvpA-YtwqXuE5idJj0wJH_a8wbXqg4hZs&v=1&r=http%3a%2f%2fbreakingfinancenews.com%2finvesting%2fbaader-wertpapierhandelsbank-announced-etrmrk-merck-stepping-up-its-price-target-to-eur97-today%2f7389%2f&p=DevEx,5046.1","Baader Wertpapierhandelsbank announced (ETR:MRK) Merck, stepping up its price target to EUR97 today",Merck (ETR:MRK) had its price target raised to EUR97 by Baader Wertpapierhandelsbank in an issued report released 6/09/2016. The latest target price suggests a possible upside of 0.07% based on the company’s last closing price. Just yesterday Merck (ETR ...,2016-06-19T20:02:00
