Company,URL,Title,Description,Date
Mitsubishi Electric Research Laboratories Inc.,"http://www.bing.com/cr?IG=4C7F63825B5A43C0969DA1C0B47EE029&CID=12F8D6C8C63F60712096DFF2C7AF6182&rd=1&h=1UUSW6CqmCE2f43Zg9iecIZqsh7T4M_YDAa0gruhb_E&v=1&r=http%3a%2f%2ffinance.yahoo.com%2fnews%2fmitsubishi-electric-research-laboratories-celebrates-090700412.html&p=DevEx,5021.1",Mitsubishi Electric Research Laboratories Celebrates 25 Years of Innovation,"Mitsubishi Electric Research Labs, the North American subsidiary of Mitsubishi Electric US Holdings, Inc., celebrates its 25th anniversary at an invitation-only event. The event will feature keynote talks, panel sessions, and a research showcase.",2016-05-26T09:07:00
Mitsubishi Electric Research Laboratories Inc.,"http://www.bing.com/cr?IG=4C7F63825B5A43C0969DA1C0B47EE029&CID=12F8D6C8C63F60712096DFF2C7AF6182&rd=1&h=lzbNmb13Nyy29z6dLwpsXrE4IdKvL0iohMQyFKrYTWA&v=1&r=http%3a%2f%2fwww.businesswire.com%2fnews%2fhome%2f20160526005017%2fen%2fMitsubishi-Electric-Research-Laboratories-Celebrates-25-Years&p=DevEx,5023.1",Mitsubishi Electric Research Laboratories Celebrates 25 Years of Innovation,"Mitsubishi Electric Research Labs, the North American subsidiary of Mitsubishi Electric US Holdings, Inc., celebrates its 25th anniversary at an invitation-only event. The event will feature keynote talks, panel sessions, and a research showcase.",2016-05-26T05:07:00
Mitsubishi Electric Research Laboratories Inc.,"http://www.bing.com/cr?IG=4C7F63825B5A43C0969DA1C0B47EE029&CID=12F8D6C8C63F60712096DFF2C7AF6182&rd=1&h=HkU9J8ZJ64h6ejce740F-V2gSw4pAtkQEbmJP9cLHIs&v=1&r=http%3a%2f%2fwww.mobilitytechzone.com%2flte%2fnews%2f2016%2f05%2f26%2f8369554.htm&p=DevEx,5025.1",Mitsubishi Electric Research Laboratories Celebrates 25 Years of Innovation,"A research showcase featuring such breakthrough technologies as dose optimization for particle beam therapy systems, deep clustering for speech separation, indoor localization using wireless and acoustic signals, and detection of a 1 Tb/s superchannel with ...",2016-05-26T12:07:06
Mitsubishi Electric Research Laboratories Inc.,"http://www.bing.com/cr?IG=4C7F63825B5A43C0969DA1C0B47EE029&CID=12F8D6C8C63F60712096DFF2C7AF6182&rd=1&h=rBxhN44PBghkvnvmh6vBDdshUlH8XwTD9Op_LHWSvvc&v=1&r=http%3a%2f%2fwww.digitaljournal.com%2fpr%2f2960135&p=DevEx,5027.1",Mitsubishi Electric Research Laboratories Celebrates 25 Years of Innovation,"BOSTON--(Business Wire)--Cambridge, Massachusetts-based Mitsubishi Electric Research Laboratories will mark 25 years of innovation in a day long celebration on June 2 at Norton's Woods at the American Academy of Arts and Sciences, in Somerville ...",2016-06-02T11:45:00
Mitsubishi Electric Research Laboratories Inc.,"http://www.bing.com/cr?IG=4C7F63825B5A43C0969DA1C0B47EE029&CID=12F8D6C8C63F60712096DFF2C7AF6182&rd=1&h=LtASR_3hQ9ZNqNCcxqTw9pK_flNhrjVIAGvauVusCKQ&v=1&r=http%3a%2f%2fwww.xconomy.com%2fboston%2f2007%2f07%2f31%2fupheaval-at-merl-mitsubishi-electric-breaks-up-famous-computer-science-lab%2f&p=DevEx,5029.1",Upheaval at MERL: Mitsubishi Electric Breaks Up Famous Computer Science Lab,"the Mitsubishi Electric Research Laboratories (MERL) in Cambridge, MA, Xconomy has learned. The research lab, long home to some of the world’s leading investigators in computer graphics, artificial intelligence, user interfaces, and speech recognition ...",2007-07-31
Mitsubishi Electric Research Laboratories Inc.,"http://www.bing.com/cr?IG=4C7F63825B5A43C0969DA1C0B47EE029&CID=12F8D6C8C63F60712096DFF2C7AF6182&rd=1&h=xUp1qtlpGS_vxkPWoJifWwraBIifE4VhTJgevpz2h6w&v=1&r=http%3a%2f%2fwww.autoblog.com%2f2010%2f09%2f08%2fcambridge-researcher-envisions-portable-charging-stations-for-el%2f&p=DevEx,5031.1",Cambridge researcher envisions portable charging stations for electric cars,"A research team led by Zafer Sahinoglu at the Mitsubishi Electric Research Laboratories in Cambridge, MA is developing a system of portable chargers that could be deployed to locations where EVs run low. The plan would be to equip electric vehicles with ...",2010-09-08
Mitsubishi Electric Research Laboratories Inc.,"http://www.bing.com/cr?IG=4C7F63825B5A43C0969DA1C0B47EE029&CID=12F8D6C8C63F60712096DFF2C7AF6182&rd=1&h=5XNfgdYpH_FkhOdTDpdjlOlZOKnOpoGRNBp-lhTAvvI&v=1&r=http%3a%2f%2fwww.pr.com%2fpress-release%2f673127&p=DevEx,5033.1",Data Bridge Market Research,"Global Radiotherapy Market is Expected to Reach USD 8.1 Billion by 2022, Owing to the Growing Incidence of Cancer - a New Report by Data Bridge Market Research ... Inc., RaySearch Laboratories AB, PRECISIS AG, Mevion Medical Systems, Inc., and Mitsubishi ...",2016-05-28T07:00:54
Mitsubishi Electric Research Laboratories Inc.,"https://www.bing.com/cr?IG=4C7F63825B5A43C0969DA1C0B47EE029&CID=12F8D6C8C63F60712096DFF2C7AF6182&rd=1&h=ax6mbuFH4c9MLISwgbriwVUSp68I78436QdFKWHJh54&v=1&r=https%3a%2f%2fgigaom.com%2f2004%2f12%2f07%2fprojecter-in-your-pocket%2f&p=DevEx,5035.1",Projecter in Your Pocket,"“Ramesh Raskar, a research scientist at Cambridge, MA’s Mitsubishi Electric Research Laboratories, sees tiny projectors as the solution to one of the fundamental problems with our ever shrinking portable devices..room to display it to us.” Raskar’s ...",2004-12-07T06:41:00
Mitsubishi Electric Research Laboratories Inc.,"http://www.bing.com/cr?IG=4C7F63825B5A43C0969DA1C0B47EE029&CID=12F8D6C8C63F60712096DFF2C7AF6182&rd=1&h=7EZWQVGQjUJf6SJfn8jtq3KIwuYiUlPWFICXbJQLi-M&v=1&r=http%3a%2f%2fwww.cnet.com%2fnews%2fseam-carving-photo-resizing-now-for-video%2f%23!&p=DevEx,5037.1",'Seam carving' photo resizing now for video,"Ariel Shamir, a senior lecturer at the Efi Arazi School of Computer Science in Israel and a visiting scientist with Mitsubishi Electric Research Laboratories, showed off the technique at the 6sight digital-imaging conference here last week. (Adobe Systems ...",2007-11-17T08:03:00
Mitsubishi Electric Research Laboratories Inc.,"http://www.bing.com/cr?IG=4C7F63825B5A43C0969DA1C0B47EE029&CID=12F8D6C8C63F60712096DFF2C7AF6182&rd=1&h=vYtlA9Kc1Flzlbo1RcLRXAMfuhRdXJhg2_Xcrs3M2cc&v=1&r=http%3a%2f%2fwww.letsgodigital.org%2fen%2fnews%2farticles%2fstory_6034.html&p=DevEx,5039.1",Monotype Imaging provider of font & imaging software,"Monotype Imaging provider of font & imaging software : Monotype Imaging, a global provider of font and imaging software technologies, has entered into an exclusive agreement with Mitsubishi Electric Research Laboratories, Inc. (MERL), to license to ...",2006-01-23T01:36:00
