Company,URL,Title,Description,Date
Nestec S.A.,"http://www.bing.com/cr?IG=FD230FC750064AB4917668CC39F65862&CID=10B539246AF76A5E31E5301E6B676BCF&rd=1&h=pJ1PHEsOsbOww6cnOYx9xq6TR7b0ZmjjWevs4DjhVdI&v=1&r=http%3a%2f%2fwww.bloomberg.com%2fresearch%2fstocks%2fprivate%2fboard.asp%3fprivcapId%3d5479792&p=DevEx,5023.1",Nestec S.A. INSIDERS ON Board Members,"There is no Other Board Members data available. Request Profile Update The information and data displayed in this profile are created and managed by Capital IQ, a Standard & Poor's company. Bloomberg.com does not create or control the content. For ...",2016-06-06T09:16:00
Nestec S.A.,"http://www.bing.com/cr?IG=FD230FC750064AB4917668CC39F65862&CID=10B539246AF76A5E31E5301E6B676BCF&rd=1&h=VTJV3yQ3fPVvaoNOZ_rgLaDFRkLo1EceGYMF_jF3HIw&v=1&r=http%3a%2f%2fwww.celiac.com%2farticles%2f23312%2f1%2fNestec-Receives-Patent-for-Method-of-Predicting-Celiac-Disease-Risk%2fPage1.html&p=DevEx,5025.1",Nestec Receives Patent for Method of Predicting Celiac Disease Risk,"In an effort to help clinicians make accurate celiac diagnosis without endoscopy and biopsy, the company Nestec S.A. of Vevey, Switzerland, a research and testing subsidiary of Nestlé has obtained U.S. Patent No. 8,409,819, entitled ""Methods to predict ...",2013-07-26T06:49:37
Nestec S.A.,"https://www.bing.com/cr?IG=FD230FC750064AB4917668CC39F65862&CID=10B539246AF76A5E31E5301E6B676BCF&rd=1&h=70_q61YBHX5dAjNU3Hxz1HyDG4V6BRC_c9ujV_Wg2Og&v=1&r=https%3a%2f%2fitunes.apple.com%2fus%2fapp%2fnestle-shopping%2fid1114504529%3fmt%3d8&p=DevEx,5027.1",Nestle Shopping,"Nestle Shopping is a FREE shopping app that gets you discount codes and best offers for your favourite Nestle products and brands like Gerber, Maggi, and others on your phone. You can easily search and browse for Nestle products and save money by comparing ...",2016-05-18
Nestec S.A.,"http://www.bing.com/cr?IG=FD230FC750064AB4917668CC39F65862&CID=10B539246AF76A5E31E5301E6B676BCF&rd=1&h=9erRMr9cOmXPAGeJ2eoKybFK253ydQZcS9pnD1J2j_0&v=1&r=http%3a%2f%2fwww.bakeryandsnacks.com%2fR-D%2fNestle-files-flax-omega-3-cereal-fortification-patent&p=DevEx,5029.1",Nestlé files flax omega-3 cereal fortification patent,The cereal major's commercial research subsidiary Nestec S.A. has filed a patent for its process to fortify extruded breakfast cereals and clusters with alpha-linolenic acid (ALA) derived from flaxseed. Nestlé acknowledged that its competitor Kellogg had ...,2013-09-26
Nestec S.A.,"http://www.bing.com/cr?IG=FD230FC750064AB4917668CC39F65862&CID=10B539246AF76A5E31E5301E6B676BCF&rd=1&h=gzbog_07_0BX9HlyWPvRLCTPgJ4nO3kJo5LmhnDDvfg&v=1&r=http%3a%2f%2fwww.foodbusinessnews.net%2farticles%2fnews_home%2fResearch%2f2013%2f10%2fPatent_involves_adding_flax_to.aspx%3fID%3d%257B88CEC82A-7660-4F96-B0FA-A37CB3E6BD51%257D&p=DevEx,5031.1","Patent involves adding flax to cereal, extending shelf life","11. Nestec S.A., a business unit of Vevey-based Nestle S.A., filed the patent. The cereal piece may have an antioxidant to reduce or prevent A.L.A. oxidation. The cereal product may be placed in a hermetically sealed packaged under a modified atmosphere.",2013-10-07T13:36:53
Nestec S.A.,"http://www.bing.com/cr?IG=FD230FC750064AB4917668CC39F65862&CID=10B539246AF76A5E31E5301E6B676BCF&rd=1&h=xh0PHZLQgw0IGQro65Qanr7cWUQnl7W75n8TCpkPbts&v=1&r=http%3a%2f%2fwww.infectioncontroltoday.com%2fnews%2f2013%2f12%2fin-mouse-model-wolfberries-show-reduced-risk-for-flu-virus-when-combined-with-vaccine.aspx&p=DevEx,5033.1","In Mouse Model, Wolfberries Show Reduced Risk for Flu Virus When Combined with Vaccine","The milk preparation of wolfberry fruit was provided by Nestec S.A. Although Drs. Meydani and Wu have received funding from Nestec S.A., it was not used to support this research. Reference: Du X, Wang J, et al. Dietary wolfberry supplementation enhances ...",2013-12-11T20:29:58
Nestec S.A.,"https://www.bing.com/cr?IG=FD230FC750064AB4917668CC39F65862&CID=10B539246AF76A5E31E5301E6B676BCF&rd=1&h=jnzSwh8Qpx5Ih6wsRBsyfwwyzryrDcsZa5RXydsoTd0&v=1&r=https%3a%2f%2fwww.agra-net.com%2fagra%2finternational-coffee-report%2fanalysis%2fcompany%2finternational---european-patent-office-rules-against-nespresso-in-patent-dispute-with-ecc--1.htm&p=DevEx,5035.1",International - European Patent Office rules against Nespresso in patent dispute with ECC,"The European Patent Office (EPO) has rejected a request by Nestlé subsidiaries Nestec S.A. and Nespresso France to revoke a patent owned by the Ethical Coffee Company (ECC), which is now calling for the halt of sales of infringing Nespresso machines in Ge",2016-02-15T08:21:00
Nestec S.A.,"http://www.bing.com/cr?IG=FD230FC750064AB4917668CC39F65862&CID=10B539246AF76A5E31E5301E6B676BCF&rd=1&h=vEmr4hVEnUcg9NX3WHE8MfVglIyHriVFKe2zWyCpvoI&v=1&r=http%3a%2f%2fwww.marketwired.com%2fpress-release%2fcoffee-capsules-ethical-coffee-company-strikes-back-against-nespresso-2095959.htm&p=DevEx,5037.1",Coffee Capsules: Ethical Coffee Company Strikes Back Against Nespresso,"On 29 January 2016, the EPO confirmed the validity of ECC's patent without any restrictions and dismissed the opposition filed by Nestlé subsidiaries Nestec S.A. and Nespresso France. With the patent infringement actions filed in Munich and Düsseldorf ...",2016-02-11T08:02:00
Nestec S.A.,"http://www.bing.com/cr?IG=FD230FC750064AB4917668CC39F65862&CID=10B539246AF76A5E31E5301E6B676BCF&rd=1&h=JEFn_-aGaJLb3exQsTVdjEfyedK9XRToZxi_ypheTKI&v=1&r=http%3a%2f%2fwww.labmanager.com%2fnews%2f2013%2f12%2folder-mice%2520fed%2520wolfberries%2520show%2520reduced%2520risk%2520for%2520flu%2520virus%2520with%2520vaccine&p=DevEx,5039.1",Older Mice Fed Wolfberries Show Reduced Risk for Flu Virus with Vaccine,"The milk preparation of wolfberry fruit was provided by Nestec S.A. Although Drs. Meydani and Wu have received funding from Nestec S.A., it was not used to support this research. Additional authors of this study are Donald E. Smith, Ph.D., scientist and ...",2013-12-13T19:30:39
Nestec S.A.,"http://www.bing.com/cr?IG=FD230FC750064AB4917668CC39F65862&CID=10B539246AF76A5E31E5301E6B676BCF&rd=1&h=yMwxYwITHPYYWNgZe7u-wqmRo8xr1F-sejMNLZgtCG8&v=1&r=http%3a%2f%2fwww.telecompaper.com%2fnews%2fexclusive-agreement-between-infonet-and-nestle-sa--254841&p=DevEx,5041.1",Exclusive agreement between Infonet and Nestlé S.A.,"""As a global consumer products company, we serve our customers and support our personnel wherever they operate,"" stated Chris Johnson, GLOBE Program Director Nestec S.A. ""We required a supplier who could provide the global reach and strong product ...",2001-12-19
Nestec S.A.,"http://www.bing.com/cr?IG=FD230FC750064AB4917668CC39F65862&CID=10B539246AF76A5E31E5301E6B676BCF&rd=1&h=ozKsDAyJNs7fZoahBE8GFlPnuIrKAhUCYTRGUKC6o2k&v=1&r=http%3a%2f%2fwww.thesundaily.my%2fnews%2f1306922&p=DevEx,5043.1",F&N renews Asean licences for Nestle liquid milk brands,"PETALING JAYA: Fraser & Neave Holdings Bhd (F&NHB) and its dairy subsidiaries have renewed licences for Société Des Produits Nestlé S.A. and Nestec S.A. (Nestlé) liquid milk brands granted in 2007. Consequently, F&N will continue to manufacture and ...",2015-01-26T05:36:00
Nestec S.A.,"http://www.bing.com/cr?IG=FD230FC750064AB4917668CC39F65862&CID=10B539246AF76A5E31E5301E6B676BCF&rd=1&h=fJ8bxlhZO9EMeH3njqUvDfjoIA2sr6zV9knuXPekgK8&v=1&r=http%3a%2f%2fwww.google.it%2fpatents%2fWO2012032019A1%3fcl%3dde&p=DevEx,5045.1",Ergonomic handle with user-interface,Ltd. Multiple brand ice beverage dispenser WO2005004683A1 21 giu 2004 20 gen 2005 Nestec S.A. Dispositif pour l’extraction d’une capsule WO2006063645A1 15 nov 2005 22 giu 2006 Nestec S.A. Device and method for controlling the filling of a cup in a ...,2012-03-20
Nestec S.A.,"http://www.bing.com/cr?IG=FD230FC750064AB4917668CC39F65862&CID=10B539246AF76A5E31E5301E6B676BCF&rd=1&h=veIIdBR4lCBZRjFQgqe5oLYEfAu7LGSI1btB2qpz1wE&v=1&r=http%3a%2f%2fwww.4-traders.com%2fFRASER-AND-NEAVE-LIMITED-6492432%2fnews%2fFraser-and-Neave-F-N-Secures-22-Year-Licensing-Agreements-with-Nestle-19750997%2f&p=DevEx,5047.1",Fraser and Neave : F&N Secures 22-Year Licensing Agreements with Nestlé,"23 January 2015 (Singapore) - Fraser and Neave, Limited (""F&N"" or the ""Group""), through its listed subsidiary Fraser & Neave Holdings Bhd in Malaysia, has signed several agreements with Société Des Produits Nestlé S.A. and Nestec S.A. (collectively ...",2015-01-23T09:07:00
Nestec S.A.,"http://www.bing.com/cr?IG=FD230FC750064AB4917668CC39F65862&CID=10B539246AF76A5E31E5301E6B676BCF&rd=1&h=02vEKU9WTEq24o4Aov4Zi-yqSvTvCY8cRFIK6DoYP5w&v=1&r=http%3a%2f%2fappadvice.com%2fappnn%2f2013%2f01%2ftodays-best-apps-storytime-duet-smartscan-pdf-pro-epic-evil-twins-and-more&p=DevEx,5049.1","Today's Best Apps: Storytime Duet, SmartScan PDF Pro, Epic Evil Twins And More","The difficulty increases incrementally. The game features vibrant 3-D graphics and Game Center integration. Storytime Duet by NESTEC S.A. – NIDO (Free, 51.1 MB): Parents and kids will create a great reading time bond with this superbly interactive ...",2013-01-16
Nestec S.A.,"http://www.bing.com/cr?IG=FD230FC750064AB4917668CC39F65862&CID=10B539246AF76A5E31E5301E6B676BCF&rd=1&h=1D49ZUqlFe8n_zyVCOqqj98KB79OHbL_JmDOzgo7bKg&v=1&r=http%3a%2f%2fwww.ncbi.nlm.nih.gov%2fpubmed%2f26907090&p=DevEx,5051.1",FUT2-dependent breast milk oligosaccharides and allergy at 2 and 5 years of age in infants with high hereditary allergy risk.,"Sprenger N(1), Odenwald H(2,)(3,)(4), Kukkonen AK(5), Kuitunen M(6), Savilahti E(6), Kunz C(7). Author information: (1)Nestlé Research Center, Nestec S.A., Vers-Chez-Les-Blanc, 1000, Lausanne 26, Switzerland. Norbert.Sprenger@rdls.nestle.com. (2 ...",2016-02-24
Nestec S.A.,"http://www.bing.com/cr?IG=FD230FC750064AB4917668CC39F65862&CID=10B539246AF76A5E31E5301E6B676BCF&rd=1&h=NUSEkZjwVlBrCojAgG0jiYlhQ3pDRZYbL8QfU1Gqusw&v=1&r=http%3a%2f%2fwww.allaboutfeed.net%2fHome%2fGeneral%2f2009%2f2%2fWysong-vs-Purina-in-pet-food-probiotic-patent-dispute-AAF002866W%2f&p=DevEx,5053.1",Wysong vs Purina in pet food probiotic patent dispute,"Nestec S.A. (better known as Nestle), parent company of St Louis, Missouri based pet food manufacturer Purina, and Wysong Corporation, a health education and nutritional development company in Midland, Michigan, are clashing on a patent dispute.",2009-02-17
Nestec S.A.,"http://www.bing.com/cr?IG=FD230FC750064AB4917668CC39F65862&CID=10B539246AF76A5E31E5301E6B676BCF&rd=1&h=x3t9iNcOB-XAEWQOfC3Q5BXnOMIpaVnllwsiiwaZAMQ&v=1&r=http%3a%2f%2fwww.lexology.com%2flibrary%2fdetail.aspx%3fg%3d93692919-8dfd-4aa8-bda1-626071804cfd&p=DevEx,5055.1",Nespresso compatible coffee capsules do not infringe one of Nespresso's system patents,"On 22 April 2013, Mr Justice Arnold held that Nespresso's patent EP 2 103 236 B1 (the ""Patent"") for an extraction system comprising a coffee machine and capsule for brewing hot beverages was invalid and if valid would not be infringed by the supply by ...",2013-07-01
