Company,URL,Title,Description,Date
Olympus Corp.,"http://www.bing.com/cr?IG=A11DABF2247348F7878F969124E7371C&CID=05815E93653A6EA6274F57A964AA6F49&rd=1&h=tTuHVNB1GrleVTEvCxyIVenksgNYAyFtlkGyxD6TpaU&v=1&r=http%3a%2f%2fwww.mcall.com%2fbusiness%2fmc-olympus-scopes-lehigh-valley-20160618-story.html&p=DevEx,5027.1",Lehigh Valley hospitals guard against tainted scopes,"The health systems also are following updated reprocessing instructions from Olympus Corp., which has its U.S. headquarters in Center Valley and manufacturers 85 percent of the duodenoscopes used across the country. The company is in the midst of a massive ...",2016-06-20T05:41:00
Olympus Corp.,"http://www.bing.com/cr?IG=A11DABF2247348F7878F969124E7371C&CID=05815E93653A6EA6274F57A964AA6F49&rd=1&h=75bujAg6atgi8QZd_P-iiCtWn9pRZcqcXmvMIRqGh-s&v=1&r=http%3a%2f%2fwww.nj.com%2fnews%2findex.ssf%2f2016%2f06%2flab_olympus_cases_show_doctors_not_immune_to_corru.html&p=DevEx,5029.1",Medical malpractice: The alarming numbers of doctors busted for bribery,"And that comes on the heels of the settlement of a massive bribery scheme by Olympus Corp. of the Americas, which for years had been bribing physicians to buy its equipment, prosecutors said. In the Olympus case, the company in March agreed to pay out $623 ...",2016-06-19T12:35:00
Olympus Corp.,"http://www.bing.com/cr?IG=A11DABF2247348F7878F969124E7371C&CID=05815E93653A6EA6274F57A964AA6F49&rd=1&h=i_M9VnFNUGhxAFsSO3SywvEIJLdAsOOW5KaOrnmGb-s&v=1&r=http%3a%2f%2fwap.business-standard.com%2farticle%2fcompanies%2fsuzuki-ceo-steps-down-amid-mileage-test-storm-116060800572_1.html&p=DevEx,5031.1",Suzuki CEO steps down amid mileage test storm,"widening a mileage testing storm that had already rocked smaller rival Mitsubishi Motors Corp. Those followed accounting scandals at Olympus Corp and Toshiba Corp, prompting criticism from some investors that the Japanese government's push to introduce new ...",2016-06-09T10:03:00
Olympus Corp.,"http://www.bing.com/cr?IG=A11DABF2247348F7878F969124E7371C&CID=05815E93653A6EA6274F57A964AA6F49&rd=1&h=z4n-xRmpXXBi4dlfjCDE21w6-17JIcwnx2h2j4VsLH0&v=1&r=http%3a%2f%2fwww.themalaymailonline.com%2fmoney%2farticle%2fsuzuki-patriarch-steps-down-from-ceo-post-as-mileage-test-storm-grows&p=DevEx,5033.1",Suzuki patriarch steps down as mileage test storm grows,"widening a mileage testing storm that had already rocked smaller rival Mitsubishi Motors Corp. Those followed accounting scandals at Olympus Corp and Toshiba Corp, prompting criticism from some investors that the Japanese government’s push to introduce ...",2016-06-09T03:32:00
Olympus Corp.,"http://www.bing.com/cr?IG=A11DABF2247348F7878F969124E7371C&CID=05815E93653A6EA6274F57A964AA6F49&rd=1&h=L34DChKtCwDCJtL_j7itmgwI5R6hunsEIsZsiotEsH8&v=1&r=http%3a%2f%2fwww.channelnewsasia.com%2fmobile%2fasiapacific%2fsuzuki-patriarch-steps-do%2f2855110.html&p=DevEx,5035.1",Suzuki patriarch steps down from CEO post as mileage test storm grows,"Those followed accounting scandals at Olympus Corp and Toshiba Corp , prompting criticism from some investors that the Japanese government's push to introduce new corporate governance rules has failed to shake up a cozy and often secretive corporate culture.",2016-06-08T14:23:00
Olympus Corp.,"http://www.bing.com/cr?IG=A11DABF2247348F7878F969124E7371C&CID=05815E93653A6EA6274F57A964AA6F49&rd=1&h=ek4LoXcm3q5EMXtOAbh9-gGYDw9_bRmZY9_o8UZijrI&v=1&r=http%3a%2f%2fwww.newindianexpress.com%2fbusiness%2fnews%2fOsamu-Suzukis-exit-to-pave-the-way-for-pay-cuts-at-Japans-no-4-carmaker%2f2016%2f06%2f09%2farticle3473838.ece&p=DevEx,5037.1",Osamu Suzuki's exit to pave the way for pay cuts at Japan's no 4 carmaker,"widening a mileage testing storm that had already rocked smaller rival Mitsubishi Motors Corp. Those followed accounting scandals at Olympus Corp and Toshiba Corp, prompting criticism from some investors that the Japanese government's push to introduce ...",2016-06-09T05:48:00
Olympus Corp.,"http://www.bing.com/cr?IG=A11DABF2247348F7878F969124E7371C&CID=05815E93653A6EA6274F57A964AA6F49&rd=1&h=0nAFkKvysPlQTYq-FOQzfg0F2kK7Mv8Cqs5ADiwywNs&v=1&r=http%3a%2f%2fwww.livemint.com%2fCompanies%2fM3QOLJke6GxRWCnojL2PPK%2fSuzuki-chairman-Osamu-Suzuki-to-step-down-as-CEO-over-false.html&p=DevEx,5039.1",Suzuki chairman Osamu Suzuki to step down as CEO over false tests,"widening a mileage testing storm that had already rocked smaller rival Mitsubishi Motors Corp. Those followed accounting scandals at Olympus Corp and Toshiba Corp, prompting criticism from some investors that the Japanese government’s push to introduce ...",2016-06-08T13:04:00
Olympus Corp.,"http://www.bing.com/cr?IG=A11DABF2247348F7878F969124E7371C&CID=05815E93653A6EA6274F57A964AA6F49&rd=1&h=rUITBcIY5JflBjZDJj4xKCnDqwzim_Mjv4cX1FASpL4&v=1&r=http%3a%2f%2fwww.theglobeandmail.com%2fglobe-investor%2fhealth-care-stocks-a-prescription-for-tired-portfolios%2farticle30392254%2f&p=DevEx,5041.1",Health-care stocks a prescription for tired portfolios,"Olympus Corp. ADR: Known for manufacturing cameras, Olympus is also the largest manufacturer of endoscopes for gastroscopic procedures, with a 70-per-cent market share. But its growth potential is in the surgical space, where it has a 20-per-cent stake in ...",2016-06-15T09:00:00
Olympus Corp.,"http://www.bing.com/cr?IG=A11DABF2247348F7878F969124E7371C&CID=05815E93653A6EA6274F57A964AA6F49&rd=1&h=iRkeTDB__3p8hsMoS_YkhwiyjMiv45jQvScD5CHBnXk&v=1&r=http%3a%2f%2fwww.pr.com%2fpress-release%2f675418&p=DevEx,5043.1","Global Kidney Stone Management Devices Market to Reach Worth USD 1,713.0 Mn by 2022: Credence Research","Some of the major players engaged in the global kidney stone management devices market are Richard Wolf GmbH, Olympus Corp., Bard Medical, Allengers Medical Systems, Coloplast Group, Cook Medical, Boston Scientific Corp. and others. Blog URL - http ...",2016-06-17T11:06:00
Olympus Corp.,"http://www.bing.com/cr?IG=A11DABF2247348F7878F969124E7371C&CID=05815E93653A6EA6274F57A964AA6F49&rd=1&h=mP42WfM_mae91cA9nY9RwAtEG6HsJjamK0iM-Vcvlsw&v=1&r=http%3a%2f%2fworld.einnews.com%2fpr_news%2f330848561%2fglobal-non-destructive-testing-equipment-market-2016-share-trend-segmentation-and-forecast-to-2022&p=DevEx,5045.1","Global Non-Destructive Testing Equipment Market 2016 Share, Trend, Segmentation and Forecast to 2022","The Key players in the market include, Nikon Metrology Inc., Dr. Foerster, Zetec Inc., General Electric, Mistras, Sonotron, Olympus Corporation, Eddyfi NDT Inc. and GE Inspection technologies.",2016-06-14T13:23:00
