Company,URL,Title,Description,Date
Palm Inc.,"http://www.bing.com/cr?IG=85E60AFE394A4083870C87590E4EE663&CID=33605B76A07A65F220B3524CA1EA6462&rd=1&h=ac50AUxi8E5uSudXxQrI01JA5YoXE2Hj3DsDkbQp91Q&v=1&r=http%3a%2f%2fwww.eweek.com%2fc%2fa%2fMobile-and-Wireless%2fPalm-Inc-Changes-Name&p=DevEx,5028.1",Palm Inc. Changes Name,"Handheld computer maker Palm, Inc. announced that the company will change its name to palmOne following the spin-off of its PalmSource operating system division in the fall. Handheld computer maker Palm, Inc. announced that the company will change its name ...",2003-08-18
Palm Inc.,"http://www.bing.com/cr?IG=85E60AFE394A4083870C87590E4EE663&CID=33605B76A07A65F220B3524CA1EA6462&rd=1&h=dVpBIZToA344qUSSVzvDhbFqlcv0sKup5ufh7QQ5MNM&v=1&r=http%3a%2f%2fwww.androidheadlines.com%2f2014%2f12%2falcatel-onetouch-purchases-palm-inc-trademarks-hp.html&p=DevEx,5030.1",Alcatel Onetouch Purchases The Palm Inc. Trademarks From HP,"Some of you may remember Palm, the company that was once regarded as one of the go-to tools for anyone seeking the capabilities of a handheld PDA(yes, we said PDA aka personal data assistant)as they offered up a way for users to get email, browse the web ...",2014-12-31T01:53:17
Palm Inc.,"http://www.bing.com/cr?IG=85E60AFE394A4083870C87590E4EE663&CID=33605B76A07A65F220B3524CA1EA6462&rd=1&h=GriWTCal4Y7jwHWaX2FfEOyTMnbevQ3yx_XgxiZs3IA&v=1&r=http%3a%2f%2fwww.ibtimes.com%2fpalm-inc-palm-jumps-upgrade-200337&p=DevEx,5032.1",Palm Inc. (PALM) Jumps on Upgrade,"Palm Inc. , maker of the Treo smartphone, was upgraded this morning from market perform to outperform by Morgan Keegan. Covering analyst Tavis McCourt noted the approval by Palm shareholders of its recapitalization deal with Elevation Partners as the ...",2007-09-14T10:01:00
Palm Inc.,"http://www.bing.com/cr?IG=85E60AFE394A4083870C87590E4EE663&CID=33605B76A07A65F220B3524CA1EA6462&rd=1&h=dEVPzAc_J8cu53PrM83bYtX2rshD9Db9KScUTwLQcFM&v=1&r=http%3a%2f%2fwww.nytimes.com%2f2005%2f10%2f17%2ftechnology%2fpalm-inc-and-blackberry-maker-will-sign-a-licensing-agreement.html&p=DevEx,5034.1",Palm Inc. and BlackBerry Maker Will Sign a Licensing Agreement,"SAN FRANCISO, Oct. 16 - Palm Inc., maker of the Treo smartphone, and its rival Research In Motion, the maker of the wireless BlackBerry device, are expected to announce on Monday a licensing agreement that could alter competition in the market for phones ...",2005-10-17
Palm Inc.,"http://www.bing.com/cr?IG=85E60AFE394A4083870C87590E4EE663&CID=33605B76A07A65F220B3524CA1EA6462&rd=1&h=CPPFwZpOnpSR2IeHdfjERCJEBD_WVTXjbw16OCDqx5c&v=1&r=http%3a%2f%2fwww.phonenews.com%2fpalm-inc-capitalizing-on-rim-outages-2825%2f&p=DevEx,5036.1","Palm, Inc. Capitalizing on RIM Outages",This is the second time in two weeks that Palm Inc. has posted on their Official Blog specifically targeting the outages on Research In Motion (RIM) Network Operations Center (NOC). The initial entry provided their opinionated solution which simply stated ...,2008-02-26
Palm Inc.,"http://www.bing.com/cr?IG=85E60AFE394A4083870C87590E4EE663&CID=33605B76A07A65F220B3524CA1EA6462&rd=1&h=LoMsBYfj-90_dHZeVVgD1s9VBjcByZ1D_qkf5i71Siw&v=1&r=http%3a%2f%2fseekingalpha.com%2farticle%2f12733-palm-inc-earnings-preview-concern-for-asp-compression-palm&p=DevEx,5038.1",Palm Inc. Earnings Preview: Concern for ASP Compression (PALM),Bear Stearns analyst Andy Neff sent the following earnings preview on Palm (PALM) to clients: Thursday 6/29 @ 4:30pm ET: PALM 4Q06 EPS after market close – expecting solid results but guidance may be tempered Pre-options EPS of $0.23 vs. $0.19 a year ago ...,2006-06-29T05:53:00
Palm Inc.,"http://www.bing.com/cr?IG=85E60AFE394A4083870C87590E4EE663&CID=33605B76A07A65F220B3524CA1EA6462&rd=1&h=6TLPjwRqhn3bb08klIN10LzT9uS5KbFdLLE5qlPqzXc&v=1&r=http%3a%2f%2fwww.denverpost.com%2f2009%2f05%2f28%2fpalm-inc-smart-phone-can-act-like-iphone%2f&p=DevEx,5040.1",Palm Inc. smart phone can act like iPhone,"NEW YORK — Palm Inc. said Thursday that its much-awaited new smart phone, the Pre, can connect to Apple’s iTunes software and download music and photos just as if it were an iPod or iPhone. Palm Inc.’s new phone goes on sale June 6, with Sprint ...",2009-05-28
Palm Inc.,"http://www.bing.com/cr?IG=85E60AFE394A4083870C87590E4EE663&CID=33605B76A07A65F220B3524CA1EA6462&rd=1&h=-OhE8qisgPuFIyoix1ULx1PNm42VoikNiRxBXJdmCJc&v=1&r=http%3a%2f%2fwww.androidpolice.com%2f2010%2f04%2f11%2feditorial-palm-inc-now-for-sale-will-htc-buy-palm-for-patents-to-port-pre-to-android-or-both%2f&p=DevEx,5042.1","Editorial: Palm, Inc Now For Sale. Will HTC Buy Palm For Patents, To Port Pre To Android, Or Both?","According to Bloomberg, one of the top financial news sources in the world, Palm has hired an investment banking giant Goldman Sachs to arrange a sale of the company, at least according to 3 people familiar with the situation (read: anonymous informants ...",2010-04-11T11:40:00
Palm Inc.,"https://www.bing.com/cr?IG=85E60AFE394A4083870C87590E4EE663&CID=33605B76A07A65F220B3524CA1EA6462&rd=1&h=FxsSEU51vfNQqmdUjZo1xVUHcZOYvejXbwSvifUSrCw&v=1&r=https%3a%2f%2fredmondmag.com%2farticles%2f2010%2f04%2f28%2fhp-to-acquire-palm.aspx&p=DevEx,5044.1",HP To Acquire Palm,"Hewlett-Packard Co. said today it has agreed to acquire Palm Inc., credited with creating the smart-phone, for $1.2 billion. Palm earlier this month said it was putting itself up for sale after its new webOS platform failed to gain the traction the company ...",2010-04-28
Palm Inc.,"http://www.bing.com/cr?IG=85E60AFE394A4083870C87590E4EE663&CID=33605B76A07A65F220B3524CA1EA6462&rd=1&h=HXMoyYKO03n8IF27B_OHH_sZluuuI-LZ4vfpK9JcT6Q&v=1&r=http%3a%2f%2farticles.economictimes.indiatimes.com%2f2013-09-23%2fnews%2f42324191_1_blackberry-ltd-blackberry-shares-sales-slide&p=DevEx,5046.1",Blackberry mimicking Palm Inc's decline,"BlackBerry Ltd reported a more than 40 per cent plunge in sales and vowed to cut a third of its workforce, raising concern that it's on the same downward spiral as Palm Inc., though without prospects for a last-minute buyer. The company is eliminating ...",2013-09-23T01:13:00
Palm Inc.,"http://www.bing.com/cr?IG=85E60AFE394A4083870C87590E4EE663&CID=33605B76A07A65F220B3524CA1EA6462&rd=1&h=skWCFiWvF1vbe7sGiIzGbK_BV0L-1B4IqPtTqNkeqUg&v=1&r=http%3a%2f%2fwww.gmanetwork.com%2fnews%2fstory%2f185868%2fscitech%2fpalm-inc-teeters-in-crowded-smart-phone-market&p=DevEx,5048.1",Palm Inc. teeters in crowded smart phone market,"SAN FRANCISCO – Last year, Palm thought it had all the pieces for a turnaround in the market it pioneered: A new CEO known for making the iPod a household name, a sleek new smart phone called the Pre and fresh, intuitive operating software. Instead, the ...",2010-03-11T08:34:00
