Company,URL,Title,Description,Date
Samsung Display Co. Ltd.,"http://www.bing.com/cr?IG=7DDFCE16FA204F20AF364DBDE2DDB508&CID=086BE13BD72864C03890E801D6B86572&rd=1&h=N03lbuxZIuJ35yxirtb-kp7m835qBomWbxgmoN2oihg&v=1&r=http%3a%2f%2fwww.csmonitor.com%2fTechnology%2f2016%2f0607%2fBend-it-like-Samsung-The-first-flexible-smartphone-manufacturer&p=DevEx,5021.1",Bend it like Samsung: The first flexible smartphone manufacturer?,"A new Bloomberg report suggests that Samsung Electronics Co., Ltd., will soon introduce two new smartphones ... backlit liquid-crystal display (LCD) screens. Apple could begin using OLED screen technology later next year as well – and could have their ...",2016-06-07
Samsung Display Co. Ltd.,"http://www.bing.com/cr?IG=7DDFCE16FA204F20AF364DBDE2DDB508&CID=086BE13BD72864C03890E801D6B86572&rd=1&h=R_Y4hNXyG0pZxsmKVO_MhylH8-nBd0s282v7op3t2-0&v=1&r=http%3a%2f%2fwww.reuters.com%2farticle%2fidUSFit962335%3ftype%3dcompanyNews&p=DevEx,5023.1",Fitch Affirms Samsung Electronics at 'A+'; Outlook Stable,"(The following statement was released by the rating agency) SEOUL/HONG KONG, June 16 (Fitch) Fitch Ratings has affirmed South Korea-based Samsung Electronics Co., Ltd.'s (SEC ... from the cyclical semiconductor and display panel businesses.",2016-06-16T05:41:00
Samsung Display Co. Ltd.,"http://www.bing.com/cr?IG=7DDFCE16FA204F20AF364DBDE2DDB508&CID=086BE13BD72864C03890E801D6B86572&rd=1&h=fYCfKTvm_qVETc_nkp8GINHWeUDQ5RzvQhVEC24HGXA&v=1&r=http%3a%2f%2fwww.hometoys.com%2fnews%2f2016%2f06%2f13%2finfocomm--samsung-electronics-reaffirms-av-industry-leadership-and-innovation-at-infocomm-2016%2f34307%2f&p=DevEx,5025.1",InfoComm - Samsung Electronics Reaffirms AV Industry Leadership and Innovation at InfoComm 2016,"Samsung was selected as Favorite Display Manufacturer. Rental & Staging Systems - InfoComm ... A wholly owned subsidiary of Samsung Electronics Co., Ltd., SEA delivers a broad range of digital consumer electronics, IT and home appliance products.",2016-06-13T12:45:00
Samsung Display Co. Ltd.,"http://www.bing.com/cr?IG=7DDFCE16FA204F20AF364DBDE2DDB508&CID=086BE13BD72864C03890E801D6B86572&rd=1&h=98TzAQiFRkE2PxWUPy0UCwnm3j9Ta5IqKrGurZ2kFaU&v=1&r=http%3a%2f%2fsiliconangle.com%2fblog%2f2016%2f06%2f07%2freport-samsung-planning-to-bring-fully-bendable-smartphones-to-market-in-2017%2f&p=DevEx,5027.1",Report: Samsung planning to bring fully bendable smartphones to market in 2017,Samsung Electronics Co. Ltd. may be bringing bendable smartphones to market as ... while another has a 5-inch display that “unfurls” into a tablet-sized 8-inch panel. Both phones could debut at the World Mobile Congress in Barcelona in February.,2016-06-07T08:45:00
Samsung Display Co. Ltd.,"http://www.bing.com/cr?IG=7DDFCE16FA204F20AF364DBDE2DDB508&CID=086BE13BD72864C03890E801D6B86572&rd=1&h=e8wjS3RhEONs0rwMvOaVFmkIVA-9ooM5kOlJMST2H5s&v=1&r=http%3a%2f%2fwww.avnetwork.com%2fav-technology%2f0002%2fsamsung-brings-tizen-operating-system-to-smart-signage-portfolio%2f97560&p=DevEx,5029.1",Samsung Brings Tizen Operating System to SMART Signage Portfolio,"Samsung Electronics Co., Ltd., will showcase the latest additions to its industry-leading digital signage and visual display solutions portfolio under the theme “Collaborate. Attract. Engage” at InfoComm. Samsung’s booth (#C-6319) at InfoComm 2016 ...",2016-06-09T01:06:00
Samsung Display Co. Ltd.,"http://www.bing.com/cr?IG=7DDFCE16FA204F20AF364DBDE2DDB508&CID=086BE13BD72864C03890E801D6B86572&rd=1&h=BrZDm5_9w13__en9exIr9rXVLrw1iCueu49WZhIQ7Og&v=1&r=http%3a%2f%2fit.tmcnet.com%2fnews%2f2016%2f06%2f08%2f8375859.htm&p=DevEx,5031.1",Samsung Electronics Brings Tizen Operating System to SMART Signage Portfolio,"Samsung (News - Alert) Electronics Co., Ltd., will showcase the latest additions to its industry-leading digital signage and visual display solutions portfolio at the InfoComm 2016 tradeshow. Scheduled to take place June 4-10, 2016, at the Las Vegas ...",2016-06-08T19:33:00
Samsung Display Co. Ltd.,"http://www.bing.com/cr?IG=7DDFCE16FA204F20AF364DBDE2DDB508&CID=086BE13BD72864C03890E801D6B86572&rd=1&h=zJrYyAdzMllbmA8uWZSKyjIloTIc-uf_Q8rAYTdef1g&v=1&r=http%3a%2f%2ftimesofindia.indiatimes.com%2ftech%2ftech-news%2fSamsung-Galaxy-Note-7-to-go-into-mass-production-in-July%2farticleshow%2f52794169.cms&p=DevEx,5033.1",Samsung Galaxy Note 7 to go into mass production in July,"Samsung to acquire US cloud services firm Joyent Tech giant Samsung Electronics Co Ltd said on Thursday it will acquire US ... Samsung Galaxy Note 7 is speculated to sport a 5.8-inch QHD display, quad-core Qualcomm Snapdragon 820 processor, 32GB of in ...",2016-06-17T09:19:00
Samsung Display Co. Ltd.,"https://www.bing.com/cr?IG=7DDFCE16FA204F20AF364DBDE2DDB508&CID=086BE13BD72864C03890E801D6B86572&rd=1&h=Zy4vVRY9MdyCsynP1BQg1zkwMIJZsXfLocN1kU-tlT4&v=1&r=https%3a%2f%2fglobenewswire.com%2fnews-release%2f2016%2f06%2f08%2f847057%2f0%2fen%2fGlobal-Quantum-Dot-Display-Market-Analysis-Opportunities-2012-2021-Major-Players-are-LG-Display-Samsung-and-Sony.html&p=DevEx,5035.1","Global Quantum Dot Display Market Analysis & Opportunities 2012-2021 - Major Players are LG Display, Samsung and Sony","in the coming years. LG Display Co. Ltd., Samsung Display Co. Ltd., and Sony Corporation are the major players operating in the global quantum dot display market. 5. Asia-Pacific Quantum Dot Display Market Outlook 6. North America Quantum Dot Display ...",2016-06-08T13:31:00
Samsung Display Co. Ltd.,"https://www.bing.com/cr?IG=7DDFCE16FA204F20AF364DBDE2DDB508&CID=086BE13BD72864C03890E801D6B86572&rd=1&h=mk29UuroE-EKVvRB5X9k1-qmmnJxwvj4rHCo_ktDgC8&v=1&r=https%3a%2f%2fwww.whatech.com%2fmarket-research%2fit%2f172326-quantum-dots-display-market-size-trends-market-outlook-research-forecast-to-2022-illuminated-by-new-report&p=DevEx,5037.1","Quantum dots display market size, trends, market outlook & research forecast to 2022 illuminated by new report","... in the global quantum dots display (QD display) market include QD Vision, Inc. (the U.S.), Nanosys, Inc. (the U.S.), Nanoco Technologies Ltd (the U.K.), QD laser, Inc. (the U.S.), Samsung Electronics Co. Ltd. (South Korea), LG Display Co. Ltd. (South ...",2016-06-17T08:24:00
Samsung Display Co. Ltd.,"http://www.bing.com/cr?IG=7DDFCE16FA204F20AF364DBDE2DDB508&CID=086BE13BD72864C03890E801D6B86572&rd=1&h=6JuQppucfOYNMg6LAHrjexvH0UKJk6dhJQfNvDxfC-U&v=1&r=http%3a%2f%2fdazeinfo.com%2f2016%2f06%2f07%2fsamsungs-bendable-secreen-smartphones-launch-2017%2f&p=DevEx,5039.1",Samsung’s Futuristic Bendable Screen Smartphone: A Threat for Tablet Market,"Taking a clue from its arch rival the Korean smartphone giant, Samsung Electronics Co. Ltd. (KRX: 005930 ... will feature organic-light-emitting-diode (OLED) screens with 4K display capabilities. Samsung has already taken a leap with its Edge series ...",2016-06-07T11:34:00
Samsung Display Co. Ltd.,"http://www.bing.com/cr?IG=7DDFCE16FA204F20AF364DBDE2DDB508&CID=086BE13BD72864C03890E801D6B86572&rd=1&h=5oyI8rSMBPY9SNc5Y4_mds_Dtifa6ZI9K2bCTBBrQsg&v=1&r=http%3a%2f%2fwww.gizbot.com%2fmobile%2ffeatures%2ftop-best-selling-smartphone-brand-globally-samsung-apple-xiaomi-lenovo-033289.html&p=DevEx,5041.1","Samsung Top-selling Smartphone Brand Globally: Apple, Micromax, Xiaomi, lenovo, Huawei and more","While Samsung and Apple are the two major suppliers ... Their sales for the year are expected to drop 26 per cent from 2015. Lenovo Group Ltd. is a Chinese multinational technology company with headquarters in Beijing, China, and Morrisville, North ...",2016-06-18T14:04:00
Samsung Display Co. Ltd.,"http://www.bing.com/cr?IG=7DDFCE16FA204F20AF364DBDE2DDB508&CID=086BE13BD72864C03890E801D6B86572&rd=1&h=FFKMd5Z_M-RJZPgdXPgiEdjXse6mLjF7cRS7tGQwEQg&v=1&r=http%3a%2f%2fwww.businesswire.com%2fnews%2fhome%2f20150609006775%2fen%2fSamsung-Display-Introduces-Mirror-Transparent-OLED-Display&p=DevEx,5043.1",Samsung Display Introduces First Mirror and Transparent OLED Display Panels,"HONG KONG--(BUSINESS WIRE)--(Retail Asia Expo 2015) – Samsung Display Co., Ltd. unveiled the industry’s first Mirror and Transparent OLED display panels in a dazzling state-of-the-art showcase for personalized shopping and informational browsing ...",2015-06-09T09:38:00
Samsung Display Co. Ltd.,"http://www.bing.com/cr?IG=7DDFCE16FA204F20AF364DBDE2DDB508&CID=086BE13BD72864C03890E801D6B86572&rd=1&h=Vn9JvrImSrtMRENMKHSV1aBplsGd8uEKlBNyL4irFk0&v=1&r=http%3a%2f%2fnews.softpedia.com%2fnews%2fSamsung-Display-Co-Ltd-Now-Up-and-Running-262192.shtml&p=DevEx,5045.1","Samsung Display Co., Ltd Now Up and Running","It looks like Samsung was able to complete its LCD business spin-off plans in record time, or close enough for that choice of words to apply anyway. Samsung Electronics reached the conclusion, back in February, that it was in its best interest to separate ...",2012-04-02T07:52:00
Samsung Display Co. Ltd.,"http://www.bing.com/cr?IG=7DDFCE16FA204F20AF364DBDE2DDB508&CID=086BE13BD72864C03890E801D6B86572&rd=1&h=4xgPJZDmmVMnxLR_dBYn3WUsv8Bk4pa3zBzqv0i_vjE&v=1&r=http%3a%2f%2fwww.digitaljournal.com%2fpr%2f2970207&p=DevEx,5047.1",Samsung Electronics Reaffirms AV Industry Leadership and Innovation at InfoComm 2016,"LAS VEGAS--(Business Wire)--Samsung Electronics Co., Ltd., is the proud recipient of four prestigious ... The company was honored for its innovation and leadership in the visual display and integrated audio/visual (AV) arenas, earning recognition from ...",2016-06-10T18:30:00
Samsung Display Co. Ltd.,"http://www.bing.com/cr?IG=7DDFCE16FA204F20AF364DBDE2DDB508&CID=086BE13BD72864C03890E801D6B86572&rd=1&h=kR-RCEMau8v5zJArspwBeShSS_bfoTlrSl1QN6qXjNY&v=1&r=http%3a%2f%2fwww.southcarolinasc.com%2f2016%2f06%2fbluewater-technologies-receives-samsung-smart-signage-award-for-platinum-partner-of-the-year%2f&p=DevEx,5049.1",Bluewater Technologies Receives Samsung Smart Signage Award for Platinum Partner of the Year. South Carolina SC,"A wholly owned subsidiary of Samsung Electronics Co., Ltd., SEA delivers a broad range of digital consumer electronics, IT & home appliance products. Samsung is the market leader for HDTVs in the U.S. & one of America’s fastest growing home appliance brands.",2016-06-11T06:18:00
Samsung Display Co. Ltd.,"http://www.bing.com/cr?IG=7DDFCE16FA204F20AF364DBDE2DDB508&CID=086BE13BD72864C03890E801D6B86572&rd=1&h=aOvoYXGgGYE3zy96bm26sWeIN2VQErO9dCsxOnsHx-0&v=1&r=http%3a%2f%2fwww.mobilitytechzone.com%2fbroadband-stimulus%2fnews%2f2016%2f06%2f06%2f8374033.htm&p=DevEx,5051.1",Samsung Galaxy S7 Active Available Exclusively at AT&T Starting June 10,The Samsung Galaxy S7 active gives you greater peace of mind when you're dealing with life's everyday fumbles. It has a 5.1 inch Super AMOLED display that lets you watch ... Check with your company IT administrator. 6 Memory card sold separately.,2016-06-06T16:10:00
Samsung Display Co. Ltd.,"http://www.bing.com/cr?IG=7DDFCE16FA204F20AF364DBDE2DDB508&CID=086BE13BD72864C03890E801D6B86572&rd=1&h=vfTv8FDG8FNAjdOSpELoUYCAA8rZ7VH9BKSaUkQez1U&v=1&r=http%3a%2f%2fwww.ibtimes.com%2fsamsung-display-plough-3b-more-vietnam-plant-report-2043455&p=DevEx,5053.1",Samsung Display To Plough $3B More Into Vietnam Plant: Report,"Samsung Display, a subsidiary of Samsung Electronics Co. Ltd., plans to invest an additional $3 billion to boost the production capacity of its display module assembly plant in Vietnam, a report said Friday, citing a source familiar with the matter.",2015-08-07T05:43:00
Samsung Display Co. Ltd.,"http://www.bing.com/cr?IG=7DDFCE16FA204F20AF364DBDE2DDB508&CID=086BE13BD72864C03890E801D6B86572&rd=1&h=1hteMqtC4lbMYRyBdmfICX4jPkIoKeyIlFJA6RR0V84&v=1&r=http%3a%2f%2fgadgets.ndtv.com%2fmobiles%2fnews%2fsamsung-display-to-build-1-billion-plant-in-vietnam-552085&p=DevEx,5055.1",Samsung Display to Build $1 Billion Plant in Vietnam,"A subsidiary of South Korea's Samsung Electronics Co Ltd said on Thursday it received approval to build a $1 billion display module assembly plant in Vietnam, its first production facility in the country. A Samsung Display Co Ltd spokesman said the company ...",2014-07-03T03:19:52
