Company,URL,Title,Description,Date
Tsinghua University,"http://www.bing.com/cr?IG=DAB68366EE4E437FBD71DDC990CCF8D7&CID=0835C739D5C46AF1055CCE03D4546B8D&rd=1&h=3AvZGBbqGdjQ2AZF4x77Flohz6NyfblRv3EdfbeFnqs&v=1&r=http%3a%2f%2fblog.physicsworld.com%2f2016%2f06%2f15%2ftsinghua-university-moves-on-up%2f&p=DevEx,5026.1",Tsinghua University moves on up,"I like big cities so I feel quite at home in Beijing with its skyscrapers, highways and endless traffic. Still, it was a pleasure yesterday on the third day of my visit to the Chinese capital to arrive at the green lawns of Tsinghua University. Situated in ...",2016-06-15T09:00:00
Tsinghua University,"http://www.bing.com/cr?IG=DAB68366EE4E437FBD71DDC990CCF8D7&CID=0835C739D5C46AF1055CCE03D4546B8D&rd=1&h=FjGfBarpIdA7w7F5LKSAFFnBOnWEtJJQ51cgWIevobo&v=1&r=http%3a%2f%2feconomictimes.indiatimes.com%2fnews%2fdefence%2fchinese-air-force-directly-recruits-pilots-from-university%2farticleshow%2f52816787.cms&p=DevEx,5028.1",Chinese Air Force directly recruits pilots from university,"The programme, initiated by the PLA Air Force and Beijing-based Tsinghua University, recruited its first group of 32 students in 2011. In addition to their chosen subjects, the students studied aviation, such as aeronautical engineering and mechanics at ...",2016-06-19T09:27:00
Tsinghua University,"http://www.bing.com/cr?IG=DAB68366EE4E437FBD71DDC990CCF8D7&CID=0835C739D5C46AF1055CCE03D4546B8D&rd=1&h=jtyKEkwPLl20TUacs7xV324B9k42sd4QIi_4-BAZnkQ&v=1&r=http%3a%2f%2ffinance.yahoo.com%2fnews%2fparis-beijing-delta-green-building-130000349.html&p=DevEx,5030.1","From Paris to Beijing, the Delta Green Building Exhibition is Launched at Tsinghua University","SHANGHAI, June 17, 2016 /PRNewswire/ -- In response to global efforts toward carbon emissions reduction, the Delta Green Building Exhibition, first held at the Grand Palais in Paris, France, during the 2015 United Nations Climate Change Conference (COP21 ...",2016-06-17T13:06:00
Tsinghua University,"http://www.bing.com/cr?IG=DAB68366EE4E437FBD71DDC990CCF8D7&CID=0835C739D5C46AF1055CCE03D4546B8D&rd=1&h=4FdVAMXJ6456e_xFRUJGlb_wxYYeXSfTzjpRfckcHbA&v=1&r=http%3a%2f%2fenglish.cri.cn%2f12394%2f2016%2f06%2f19%2f3521s931335.htm&p=DevEx,5069.1",Tsinghua Student Pilots Assigned to Air Forces,The students take a group photo at the gate of the Tsinghua University in 2015. [Photo: The Ministry of National Defense] The first batch of students to graduate from a joint program between the Chinese Army and the prestigious Tsinghua University have ...,2016-06-19T03:15:00
Tsinghua University,"http://www.bing.com/cr?IG=DAB68366EE4E437FBD71DDC990CCF8D7&CID=0835C739D5C46AF1055CCE03D4546B8D&rd=1&h=hvyk_sOmRzMxtredpFJ7AHmX2zuzqfuXn4HqgT1q-d0&v=1&r=http%3a%2f%2fwww.asianscientist.com%2f2016%2f06%2facademia%2fqs-university-rankings-asia-2016%2f&p=DevEx,5034.1",2016 QS Uni Rankings: Singapore Universities Retain Their Lead,"Rounding up the list are South Korea's KAIST (6th place) and Seoul National University (10th place), and China's Tsinghua University (5th place) and Peking University (9th place). The QS University Rankings: Asia is published annually and ranks Asia’s ...",2016-06-20T04:00:00
Tsinghua University,"http://www.bing.com/cr?IG=DAB68366EE4E437FBD71DDC990CCF8D7&CID=0835C739D5C46AF1055CCE03D4546B8D&rd=1&h=iSyALNkgnWrRYpwBTL6CT3lMEQAClEr-rVkefBwpYzI&v=1&r=http%3a%2f%2fwww.womenofchina.cn%2fwomenofchina%2fhtml1%2fculture%2fexhibition%2f1606%2f1616-1.htm&p=DevEx,5036.1",Tsinghua University Opens Exhibition for Art Undergraduates,"Visitors look atceramic design works during an exhibition for undergraduates of the Academy of Art and Design of Tsinghua University in Beijing, capital of China, June 14, 2016. The exhibition displayed graduation design works of 197 students of the academy.",2016-06-15T02:22:00
Tsinghua University,"http://www.bing.com/cr?IG=DAB68366EE4E437FBD71DDC990CCF8D7&CID=0835C739D5C46AF1055CCE03D4546B8D&rd=1&h=oNmCbVbTIQcYzTXRV132XbZK1UEgqKs-jn7aC2GiWR8&v=1&r=http%3a%2f%2fwww.dw.com%2fen%2fchinese-media-attack-to-defend%2fa-19337992&p=DevEx,5038.1",Chinese media: Attack to defend,"""Of course, the state takes the decisive role in pulic diplomacy,"" says Shi Anbin, a journalism professor at Tsinghua University in Beijing. Shi Anbin, journalism professor at Tsinghua University in Beijing Yong Zhang, one the founders of the English ...",2016-06-17T13:50:00
Tsinghua University,"http://www.bing.com/cr?IG=DAB68366EE4E437FBD71DDC990CCF8D7&CID=0835C739D5C46AF1055CCE03D4546B8D&rd=1&h=LDmJZaE6Eschkq4_GH1hBzLRPm1Kdii1QHwbuyegLL8&v=1&r=http%3a%2f%2fnews.stanford.edu%2f2016%2f06%2f17%2fstanford-researchers-find-new-way-making-hydrogen-fuel-water-improve-grid-scale-batteries%2f&p=DevEx,5040.1",Stanford researchers find new way of making hydrogen fuel from water and improve grid-scale batteries,"Other authors are Guangmin Zhou, Po-Chun Hsu, Rufan Zhang and Zheng Liang of Stanford; and Shoushan Fan and Yuegang Zhang of Tsinghua University. Support was provided by the U.S. Department of Energy, Stanford’s Global Climate and Energy Project ...",2016-06-17T20:22:00
Tsinghua University,"http://www.bing.com/cr?IG=DAB68366EE4E437FBD71DDC990CCF8D7&CID=0835C739D5C46AF1055CCE03D4546B8D&rd=1&h=txRYDZNBQ4QBihcCOQfVKtRlBTxGF0dbs8s8Lr2ituw&v=1&r=http%3a%2f%2fwww.nanotech-now.com%2fnews.cgi%3fstory_id%3d53586&p=DevEx,5042.1",Stanford researchers find new ways to make clean hydrogen and rechargable zinc batteries,"Other authors are Guangmin Zhou, Po-Chun Hsu, Rufan Zhang and Zheng Liang of Stanford; and Shoushan Fan and Yuegang Zhang of Tsinghua University. Support was provided by the U.S. Department of Energy, Stanford's Global Climate and Energy Project ...",2016-06-19T01:47:00
Tsinghua University,"http://www.bing.com/cr?IG=DAB68366EE4E437FBD71DDC990CCF8D7&CID=0835C739D5C46AF1055CCE03D4546B8D&rd=1&h=6T512i1AD4WFQRVS10Jm6Fd_EQZ0n1nPeFhn_upaxPA&v=1&r=http%3a%2f%2fadvances.sciencemag.org%2fcontent%2f2%2f6%2fe1501624&p=DevEx,5044.1","A highly shape-adaptive, stretchable design based on conductive liquid for energy harvesting and self-powered biomechanical monitoring","3 Department of Precision Instrument, Tsinghua University, Beijing 100084, China. 4 Beijing Institute of Nanoenergy and Nanosystems, Chinese Academy of Sciences, Beijing 100083, China.",2016-06-17T18:25:00
