Company,URL,Title,Description,Date
Unilever Patent Group,"http://www.bing.com/cr?IG=621E4B15EEA546289D6577A94AAD08AC&CID=25A844F3E7CB611C2D084DC9E65B60AC&rd=1&h=yaWZxf-cZPzJK4YOL_3RUtnxmVxWbtmRnzSXjsKvSrg&v=1&r=http%3a%2f%2fwww.ft.com%2fcms%2fs%2f2%2fa0892bfa-0e23-11e6-b41f-0beb7e589515.html&p=DevEx,5023.1",Tricks that help big companies innovate,"For example, Unilever has been increasingly looking ... Guardian Media Group and the German publishing group Holtzbrinck, teaming them up with promising start-ups in their business sectors. Patent trolls rear their ugly heads in courtrooms around the ...",2016-06-09T12:43:00
Unilever Patent Group,"http://www.bing.com/cr?IG=621E4B15EEA546289D6577A94AAD08AC&CID=25A844F3E7CB611C2D084DC9E65B60AC&rd=1&h=XN8Jy0NQJQtO03IgCsW89qJYSufjKTrevSEEv83Fa94&v=1&r=http%3a%2f%2ffinance.yahoo.com%2fnews%2fUnilever-Selects-First-To-iw-2749702001.html&p=DevEx,5025.1",Unilever Selects First To File for Patent Document Management,"EFR enables Unilever to manage patent documents, prior art, and meta-data-based knowledge across its worldwide Patent Group, significantly reducing costs, risks, and environmental impact while increasing patent prosecution efficiency. More information ...",2010-12-14T14:00:00
Unilever Patent Group,"http://www.bing.com/cr?IG=621E4B15EEA546289D6577A94AAD08AC&CID=25A844F3E7CB611C2D084DC9E65B60AC&rd=1&h=gDyr8deV2zN3E5fNI1Ym4zrwcvTZ1VelmU_6_Cx01G8&v=1&r=http%3a%2f%2fwww.marketwired.com%2fpress-release%2fUnilever-Selects-First-To-File-for-Patent-Document-Management-1368516.htm&p=DevEx,5027.1",Unilever Selects First To File for Patent Document Management,"EFR enables Unilever to manage patent documents, prior art, and meta-data-based knowledge across its worldwide Patent Group, significantly reducing costs, risks, and environmental impact while increasing patent prosecution efficiency. More information ...",2010-12-14T09:00:00
Unilever Patent Group,"http://www.bing.com/cr?IG=621E4B15EEA546289D6577A94AAD08AC&CID=25A844F3E7CB611C2D084DC9E65B60AC&rd=1&h=9Ns7TA_qN1KkPue9mnWhPzwC1Skz-2-c0dTIpwNQkAk&v=1&r=http%3a%2f%2fwww.4-traders.com%2fNOKIA-CORP-1412498%2fnews%2fNokia-Technologies-partners-with-Brandwidth-to-build-virtual-reality-content-for-brands-22545726%2f&p=DevEx,5029.1",Nokia : Technologies partners with Brandwidth to build virtual reality content for brands,"Brandwidth specializes in the production of VR for advertising and promotional purposes, and has already used OZO to produce engaging content for a range of brands including Royal Caribbean, European Tour and Unilever. 'VR has the potential to ...",2016-06-20T06:10:00
Unilever Patent Group,"http://www.bing.com/cr?IG=621E4B15EEA546289D6577A94AAD08AC&CID=25A844F3E7CB611C2D084DC9E65B60AC&rd=1&h=zoUcz-Eb54ESVgYlvb2_NYozmtoeGTaOuZ_a3HsHSKQ&v=1&r=http%3a%2f%2fwww.patentdocs.org%2f2012%2f06%2fipo-releases-list-of-top-300-patent-holders-for-2011.html&p=DevEx,5031.1",IPO Releases List of Top 300 Patent Holders for 2011,"Patent Docs Readers may recall that the U.S. Patent and Trademark ... Inc. (274), University of Pennsylvania (289), Unilever Patent Group (296), Ajinomoto Co., Inc. (297), Cornell Research Foundation Inc. (298), and University of Washington (301).",2012-06-07
Unilever Patent Group,"http://www.bing.com/cr?IG=621E4B15EEA546289D6577A94AAD08AC&CID=25A844F3E7CB611C2D084DC9E65B60AC&rd=1&h=zG1VMqG-yViqBEtrD7nSbkGkOPMp5AUwlxhqd9J5fVA&v=1&r=http%3a%2f%2fwww.gizmodo.com.au%2f2016%2f06%2f15-common-english-words-that-you-probably-didnt-know-were-still-trademarked%2f&p=DevEx,5033.1",15 Common English Words That You Probably Didn't Know Were Still Trademarked,These are all words (except one) that the United States Patent and Trademark Office lists as being registered ... who are more than happy to tell you that it is a registered brand. Unilever (as Conopco) has the trademark on “popsicle” as a frozen ...,2016-06-17T10:17:00
Unilever Patent Group,"http://www.bing.com/cr?IG=621E4B15EEA546289D6577A94AAD08AC&CID=25A844F3E7CB611C2D084DC9E65B60AC&rd=1&h=jkGuTtVqcm7kbgniOodXzCirwrxae1Ga2O-gXBXDOSg&v=1&r=http%3a%2f%2fwww.lexology.com%2flibrary%2fdetail.aspx%3fg%3d0c09ddd2-d8eb-4fb5-9d60-33d752574f46&p=DevEx,5035.1",Patent owner’s entitlement to permanent injunction in Canada confirmed,"In Uponor, the Court came to a different result than in Unilever. The patent owner, Uponor AB, was a Swedish company that was part of a larger group of companies referred to in the decision as the “Uponor Group”. As outlined in the decision ...",2016-04-21
Unilever Patent Group,"http://www.bing.com/cr?IG=621E4B15EEA546289D6577A94AAD08AC&CID=25A844F3E7CB611C2D084DC9E65B60AC&rd=1&h=Hl5vDXzMNFmabGthPbDtAzUCIe7U_CbpkdHGC5tFZFQ&v=1&r=http%3a%2f%2fwww.bloomberg.com%2fnews%2farticles%2f2015-07-09%2fbeiersdorf-wins-retrial-in-unilever-attack-on-nivea-blue&p=DevEx,5037.1",Beiersdorf Wins Retrial in Unilever Attack on Nivea Blue,"Unilever expects the patent court to reinstate the original decision following the new trial, said Merlin Koene, a spokesman for the London- and Rotterdam-based company. Beiersdorf’s consumer group, mostly comprising creams and related Nivea products ...",2015-07-09T09:28:23
Unilever Patent Group,"http://www.bing.com/cr?IG=621E4B15EEA546289D6577A94AAD08AC&CID=25A844F3E7CB611C2D084DC9E65B60AC&rd=1&h=NHq6S5D7gINkDxu4tTJDqeTY-7X5n7tumv9OkbTu2Uo&v=1&r=http%3a%2f%2fwww.nytimes.com%2f1992%2f01%2f11%2fbusiness%2fpatents-yeast-and-fungus-for-fresher-clothes.html&p=DevEx,5039.1",Patents; Yeast and Fungus For Fresher Clothes,"WASHINGTON— Unilever Group, the diversified consumer products company that owns Lever Brothers, has patented a fabric softener for laundry in which a fresh-smelling perfume is encapsulated in cells of yeast or fungus. According to the patent, most ...",1992-01-11
Unilever Patent Group,"http://www.bing.com/cr?IG=621E4B15EEA546289D6577A94AAD08AC&CID=25A844F3E7CB611C2D084DC9E65B60AC&rd=1&h=2VMCJB7JdfC1GdZ_rKodyuVtmNYi5jplIVVfvmrLimY&v=1&r=http%3a%2f%2fwww.law360.com%2farticles%2f18113%2funilever-patent-lawyer-joins-morgan-lewis&p=DevEx,5041.1",Unilever Patent Lawyer Joins Morgan Lewis,"Law360, New York (February 7, 2007, 12:00 AM ET) -- The former chief patent lawyer ... Head of the IP group Kell Damsgaard welcomed Virelli as an important addition to the growing practice. “During his tenure at Unilever, we worked regularly with Lou ...",2007-02-07T04:00:00
