Company,URL,Title,Description,Date
Western Digital Technologies Inc.,"http://www.bing.com/cr?IG=F7BB708740DD4AF9AF9AADC80AEACB52&CID=0461362F23076D9323963F1522976C74&rd=1&h=Oj8wzc_mswWHN-aSX1p4Hg0kndSpyDhSM-j2-eaxe7E&v=1&r=http%3a%2f%2fseekingalpha.com%2farticle%2f3982565-stx-leads-technology-dogs-yield-dbd-leads-gain-june&p=DevEx,5022.1",STX Leads Technology Dogs By Yield; DBD Leads By Gain In June,"Higher priced five Technological dividend dogs for June 16 were: Seagate Technology; Diebold, Incorporated; Computer Programs & Systems, Inc.; Garmin Ltd.; Western Digital, whose prices ranged from $22.72 to $46.26. This distinction between five low priced ...",2016-06-16T21:38:00
Western Digital Technologies Inc.,"http://www.bing.com/cr?IG=F7BB708740DD4AF9AF9AADC80AEACB52&CID=0461362F23076D9323963F1522976C74&rd=1&h=LPRKMIKrZbanRczWZLPHCaNbxERAHGm07lcCeZ97MX0&v=1&r=http%3a%2f%2fwww.bibeypost.com%2fcontour-asset-management-llc-increased-western-digital-corp-call-nasdaqwdc-by-49-27-million-as-shares-declined%2f&p=DevEx,5024.1",Contour Asset Management LLC Increased Western Digital Corp (Call) (NASDAQ:WDC) by $49.27 Million as Shares Declined,"It also reduced its holding in Marvell Technology Group Ltd (Call ... 2015 according to StockzIntelligence Inc. Maxim Group upgraded the stock on June 7 to “Buy” rating. Western Digital Corporation is a developer, maker and well-known provider ...",2016-06-11T20:12:00
Western Digital Technologies Inc.,"http://www.bing.com/cr?IG=F7BB708740DD4AF9AF9AADC80AEACB52&CID=0461362F23076D9323963F1522976C74&rd=1&h=VXKXbqxFRUtrNCvmJMRtvUwdpv2oJKKzBPmdwL6_vL8&v=1&r=http%3a%2f%2f247wallst.com%2ftechnology-3%2f2016%2f06%2f17%2fbaird-has-3-contrarian-tech-stocks-that-look-like-outstanding-buys%2f&p=DevEx,5026.1",Baird Has 3 Contrarian Tech Stocks That Look Like Outstanding Buys,"Analog Devices Inc. (NASDAQ ... completed the acquisition of SanDisk, which makes Western Digital a comprehensive storage solutions provider with global reach, as well as an extensive product and technology platform that includes deep expertise in ...",2016-06-17T14:21:00
Western Digital Technologies Inc.,"http://www.bing.com/cr?IG=F7BB708740DD4AF9AF9AADC80AEACB52&CID=0461362F23076D9323963F1522976C74&rd=1&h=D1IZugFxTlmAbuWKRwzKFjUVd0F4sMxQfmBzttoIXo4&v=1&r=http%3a%2f%2fwww.forbes.com%2fsites%2fdividendchannel%2f2016%2f06%2f07%2ftuesday-sector-leaders-energy-technology-communications-2%2f&p=DevEx,5028.1","Tuesday Sector Leaders: Energy, Technology & Communications","Among large Technology & Communications stocks, Skyworks Solutions, Inc. (NASD: SWKS) and Western Digital Corp (NASD: WDC) are the most notable, showing a gain of 3.9% and 3.7%, respectively. One ETF closely tracking Technology & Communications stocks is ...",2016-06-07T18:55:00
Western Digital Technologies Inc.,"http://www.bing.com/cr?IG=F7BB708740DD4AF9AF9AADC80AEACB52&CID=0461362F23076D9323963F1522976C74&rd=1&h=aawRApAQtd7RuP_Mdu37L4HA_4KK6a0-4WvrFKG_Sjs&v=1&r=http%3a%2f%2finewstoday.net%2f2016%2f06%2fwest-corporation-nasdaq-wstc-analyst-review%2f&p=DevEx,5030.1",West Corporation (NASDAQ:WSTC) Analyst Review,Citigroup Inc. dropped their price target on Western Digital ... Its subsidiaries include Hitachi Global Storage Technologies Holdings Pte. Receive Western Digital Corporation News & Ratings Via Email - Enter your email address below to receive a concise ...,2016-06-18T17:06:00
Western Digital Technologies Inc.,"http://www.bing.com/cr?IG=F7BB708740DD4AF9AF9AADC80AEACB52&CID=0461362F23076D9323963F1522976C74&rd=1&h=cs-2hYHmgrqvfpByufYlNZ_Dzl0YY_BnjIVR-pvSm1Y&v=1&r=http%3a%2f%2fwww.jdsupra.com%2flegalnews%2fcfius-actions-highlight-focus-on-73382%2f&p=DevEx,5032.1",CFIUS Actions Highlight Focus on Critical Technologies and Infrastructure,"In October 2015, OmniVision Technologies Inc., a camera sensor-maker ... 6 David McLaughlin and Aaron Ricadela, ""Western Digital Loses China Investor Over Security Review,"" Bloomberg, February 23, 2016. 7 David McLaughlin and Ian King, ""Western Digital ...",2016-06-07T00:03:00
Western Digital Technologies Inc.,"https://www.bing.com/cr?IG=F7BB708740DD4AF9AF9AADC80AEACB52&CID=0461362F23076D9323963F1522976C74&rd=1&h=LaWR0ApcpIzyV0vsL6RtwD4yePm9xDfUaz5r1o3CPD4&v=1&r=https%3a%2f%2fwww.whatech.com%2fmarket-research%2fenergy%2f172050-demand-for-higher-bandwidth-driving-cable-connectors-and-adapters-market-market-to-reach-us-85-75-bn-by-2022-according-to-new-research-report&p=DevEx,5034.1",Demand for higher bandwidth driving cable connectors and adapters market; market to reach US$85.75 bn by 2022 according to new research report,"On the basis of technology, the segment of cat5/cat6 cable connectors ... devices manufacturers in the global cable connectors and adapters market are Dell Inc., Western Digital Corporation, Hewlett-Packard Development Company, IBM Corporation, Toshiba ...",2016-06-16T13:36:00
Western Digital Technologies Inc.,"http://www.bing.com/cr?IG=F7BB708740DD4AF9AF9AADC80AEACB52&CID=0461362F23076D9323963F1522976C74&rd=1&h=3tHf99ZiYv-lKnCgnsLIfVgHFFvYnwZeSyjocmMMfRQ&v=1&r=http%3a%2f%2fwww.schaeffersresearch.com%2fcontent%2fnews%2f2015%2f05%2f28%2fanalyst-update-western-digital-corporation-integrated-device-technology-inc-and-dsw-inc&p=DevEx,5036.1","Analyst Update: Western Digital Corporation, Integrated Device Technology, Inc., and DSW Inc.","A bullish note from Goldman Sachs has WDC 5% higher today at $99.06. Specifically, the brokerage firm raised its outlook on the stock to ""buy"" from ""neutral"" and lifted its price target to $122 from $106, saying the stock's current price doesn't fully ...",2015-05-28T16:17:24
Western Digital Technologies Inc.,"http://www.bing.com/cr?IG=F7BB708740DD4AF9AF9AADC80AEACB52&CID=0461362F23076D9323963F1522976C74&rd=1&h=ay4Ieh5Jbs6vIKq5lYh0R25dsckUKWqES4zRhRRISQw&v=1&r=http%3a%2f%2fwashpost.bloomberg.com%2fStory%3fdocId%3d1376-O8PUJF6JTSEH01-6TT6320BT1BFUNINVIQH81QFFI&p=DevEx,5038.1",Goldman Tied to Rival Bidder as Morgan Stanley Wins on Microsoft,"The LinkedIn agreement propels New York-based Morgan Stanley to the No. 1 adviser in technology ... March to buy IHS Inc., data compiled by Bloomberg show. Goldman Sachs worked with SanDisk Corp. on its sale last month to Western Digital Corp. Morgan ...",2016-06-14T09:54:00
Western Digital Technologies Inc.,"http://www.bing.com/cr?IG=F7BB708740DD4AF9AF9AADC80AEACB52&CID=0461362F23076D9323963F1522976C74&rd=1&h=04arzDl-Zgq-zDTzmn6nrbp5dJvsolPVEuoGhXT7P74&v=1&r=http%3a%2f%2fwww.kswo.com%2fstory%2f31849626%2fcovered-call-alerts-for-linkedin-google-inc-microsoft-western-digital-and-avago-technologies-released-by-investorsobserver&p=DevEx,5040.1","Covered Call Alerts For LinkedIn, Google Inc., Microsoft, Western Digital and Avago Technologies Released By InvestorsObserver",Information contained on this page is provided by an independent third-party content provider. WorldNow and this Station make no warranties or representations in connection therewith. If you have any questions or comments about this page please contact ...,2016-04-29T15:56:22
